基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
泰达宏利全能混合(FOF)A,005221,0.33亿元（2020-09-30）,3.95%,8.00%,11.19%,16.84%,25.79%,26.63%,张晓龙,3年又70天,26.63%,3年又70天
泰达宏利全能混合(FOF)C,005222,0.17亿元（2020-09-30）,3.92%,7.90%,11.00%,16.47%,24.51%,25.28%,张晓龙,3年又70天,25.28%,3年又70天
泰达宏利泰和平衡养老(FOF),006306,3.52亿元（2020-09-30）,5.98%,11.54%,15.54%,28.99%,--,41.86%,张晓龙,200天,21.04%,3年又70天
华夏养老2040(FOF),006289,8.10亿元（2020-09-30）,12.36%,18.08%,20.79%,40.82%,--,60.65%,许利明,109天,17.59%,6年又138天
华夏聚惠(FOF)C,005219,0.73亿元（2020-09-30）,6.50%,10.81%,12.24%,22.21%,33.75%,34.90%,李晓易/郑铮,1年又352天,36.70%,1年又352天/3年又69天
长信颐天平衡养老(FOF)C,006873,0.53亿元（2020-09-30）,5.13%,8.92%,12.05%,26.80%,--,29.21%,杨帆,201天,16.01%,3年又267天
鹏华养老2035混合(FOF),006296,4.69亿元（2020-09-30）,4.71%,7.46%,9.40%,26.30%,--,42.26%,赵强,8天,0.85%,1年又264天
建信优享稳健养老(FOF),006581,1.72亿元（2020-09-30）,2.55%,4.66%,6.16%,13.22%,--,20.47%,梁珉,1年又345天,20.47%,3年又70天
汇添富养老2030混合(FOF),006763,4.24亿元（2020-09-30）,11.79%,17.05%,21.42%,38.93%,--,54.63%,蔡健林,2年又15天,54.63%,2年又15天
中融量化精选(FOF)C,005759,0.13亿元（2020-09-30）,2.37%,4.81%,3.65%,5.50%,--,12.31%,哈图,2年又252天,12.31%,2年又252天
富国鑫旺稳健养老(FOF),006297,6.27亿元（2020-09-30）,1.55%,2.37%,3.80%,7.92%,--,15.06%,张子炎,1年又214天,12.66%,1年又225天
工银养老2035(FOF),006295,4.72亿元（2020-09-30）,9.37%,16.16%,20.26%,38.17%,--,56.98%,蒋华安,1年又19天,42.84%,2年又72天
中欧预见养老2035(FOF)C,006322,1.11亿元（2020-09-30）,5.10%,11.53%,16.15%,31.26%,--,57.53%,桑磊,2年又93天,57.53%,2年又93天
大成养老2040(FOF)C,007298,0.28亿元（2020-09-30）,7.21%,10.11%,12.17%,23.63%,--,41.53%,尚琼,1年又198天,41.53%,1年又198天
南方合顺多资产(FOF)A,005979,0.59亿元（2020-09-30）,6.15%,11.30%,16.96%,37.07%,--,55.15%,夏莹莹,1年又359天,55.15%,3年又62天
兴全安泰养老三年(FOF),006580,15.42亿元（2020-09-30）,3.44%,8.70%,13.39%,27.85%,--,56.19%,林国怀,1年又351天,56.19%,1年又351天
中欧预见养老2035(FOF)A,006321,8.66亿元（2020-09-30）,5.14%,11.65%,16.37%,31.79%,--,58.94%,桑磊,2年又93天,58.94%,2年又93天
南方合顺多资产(FOF)C,005980,0.17亿元（2020-09-30）,6.11%,11.18%,16.73%,36.52%,--,53.93%,夏莹莹,1年又359天,53.93%,3年又62天
华宝稳健养老(FOF),007255,0.34亿元（2020-09-30）,2.21%,7.27%,9.92%,17.77%,--,23.17%,刘翀,1年又261天,23.17%,1年又261天
嘉实养老2050混合(FOF),007188,0.38亿元（2020-09-30）,5.75%,12.58%,15.22%,38.35%,--,62.38%,郑科,1年又261天,62.38%,1年又311天
华夏养老2045(FOF)A,006620,7.99亿元（2020-09-30）,11.83%,18.85%,23.72%,54.41%,--,74.03%,许利明,109天,17.93%,6年又138天
中欧预见养老2050五年持有(FOF)A,007241,0.31亿元（2020-09-30）,6.58%,14.55%,15.65%,35.80%,--,54.41%,桑磊,1年又246天,54.41%,2年又93天
广发养老2050混合(FOF),007250,0.21亿元（2020-09-30）,8.48%,14.66%,17.96%,30.44%,--,39.49%,陆靖昶,1年又260天,39.49%,2年又17天
华夏养老2035(FOF)C,006623,0.15亿元（2020-09-30）,6.03%,10.06%,13.83%,30.30%,--,34.23%,许利明,109天,9.43%,6年又138天
华夏聚丰混合(FOF)A,005957,0.04亿元（2020-09-30）,14.63%,21.48%,28.59%,38.74%,--,44.65%,周桓/郑铮,220天,42.54%,220天/3年又69天
南方稳健养老(FOF)C,007160,0.23亿元（2020-09-30）,1.94%,4.13%,7.79%,11.83%,--,17.01%,黄俊,1年又246天,17.01%,4年又166天
万家稳健养老(FOF),006294,4.09亿元（2020-09-30）,2.37%,4.39%,6.74%,11.41%,--,19.33%,徐朝贞,2年又29天,19.33%,2年又29天
华夏养老2035(FOF)A,006622,3.47亿元（2020-09-30）,6.06%,10.17%,14.06%,30.81%,--,35.14%,许利明,109天,9.56%,6年又138天
嘉实养老2040混合(FOF),006307,1.08亿元（2020-09-30）,5.57%,12.26%,14.80%,37.80%,--,54.38%,郑科,1年又311天,54.38%,1年又311天
鹏华长乐稳健养老混合(FOF),007273,0.12亿元（2020-09-30）,3.03%,3.20%,4.09%,11.61%,--,15.63%,赵强,8天,0.19%,1年又264天
华夏聚丰混合(FOF)C,005958,0.22亿元（2020-09-30）,14.63%,21.46%,28.56%,38.69%,--,44.36%,周桓/郑铮,220天,42.51%,220天/3年又69天
上投摩根锦程养老三年(FOF),007221,2.52亿元（2020-09-30）,4.42%,9.27%,11.20%,24.54%,--,30.27%,杜习杰,1年又131天,30.27%,1年又131天
南方养老2035(FOF)C,006291,1.03亿元（2020-09-30）,5.69%,12.22%,21.31%,35.44%,--,57.81%,鲁炳良/黄俊,2年又21天,57.18%,2年又21天/4年又166天
国泰民安养老2040(FOF),007231,1.23亿元（2020-09-30）,5.58%,10.20%,10.06%,22.79%,--,31.61%,周珞晏,163天,6.96%,1年又141天
工银养老2050混合(FOF),006886,1.38亿元（2020-09-30）,7.81%,15.58%,21.01%,44.97%,--,60.95%,黄惠宇,1年又289天,60.95%,2年又72天
招商和悦稳健养老(FOF)C,006862,3.76亿元（2020-09-30）,3.41%,4.59%,5.56%,13.47%,--,20.92%,章鸽武,1年又260天,20.92%,1年又260天
国投瑞银稳健养老(FOF),006876,2.81亿元（2020-09-30）,4.28%,6.41%,9.19%,17.54%,--,24.37%,吴翰,149天,6.04%,158天
华夏养老2045(FOF)C,006621,0.62亿元（2020-09-30）,11.80%,18.73%,23.48%,53.79%,--,72.83%,许利明,109天,17.80%,6年又138天
嘉实养老2030混合(FOF),006245,2.93亿元（2020-09-30）,4.64%,10.40%,12.51%,29.67%,--,42.94%,郑科,1年又159天,42.94%,1年又311天
鹏华养老2045混合(FOF),007271,0.67亿元（2020-09-30）,6.22%,8.05%,8.20%,32.03%,--,42.76%,赵强,8天,0.76%,1年又264天
南方稳健养老(FOF)A,007159,3.73亿元（2020-09-30）,1.97%,4.23%,8.00%,12.26%,--,17.77%,黄俊,1年又246天,17.77%,4年又166天
广发稳健养老(FOF),006298,3.00亿元（2020-09-30）,2.32%,4.19%,6.59%,12.66%,--,22.75%,JINYA/陆靖昶,10天,0.94%,10天/2年又17天
华夏养老2050五年(FOF),006891,0.93亿元（2020-09-30）,10.70%,17.16%,19.42%,40.43%,--,63.90%,郑铮/许利明,83天,14.48%,3年又69天/6年又138天
景顺稳健养老目标三年混合(FOF),007272,0.86亿元（2020-09-30）,4.86%,8.34%,10.69%,20.53%,--,22.67%,薛显志,1年又107天,22.67%,3年又259天
兴业养老2035(FOF)A,006894,2.61亿元（2020-09-30）,7.65%,12.28%,15.08%,28.56%,--,33.46%,王晓辉,195天,19.88%,228天
南方养老2035(FOF)A,006290,7.92亿元（2020-09-30）,5.73%,12.33%,21.55%,35.98%,--,59.18%,鲁炳良/黄俊,2年又21天,58.47%,2年又21天/4年又166天
中银养老一年定开(FOF),006303,2.45亿元（2020-09-30）,2.37%,4.21%,6.69%,12.50%,--,18.33%,石婧,1年又248天,18.33%,1年又248天
农银养老2035混合(FOF),007407,1.98亿元（2020-09-30）,5.79%,8.52%,11.34%,27.70%,--,34.20%,杨鹏,1年又136天,34.20%,1年又136天
工银智远配置三个月混合(FOF),008144,16.51亿元（2020-09-30）,2.49%,3.64%,4.62%,9.37%,--,9.70%,周崟,1年又53天,9.70%,2年又63天
博时颐泽稳健养老(FOF)C,007071,0.18亿元（2020-09-30）,3.65%,7.16%,8.53%,15.68%,--,18.77%,麦静/余军,129天,5.26%,129天/276天
汇添富养老2040五年持有混合(FOF),007059,7.16亿元（2020-09-30）,9.47%,15.00%,20.81%,46.56%,--,65.48%,李彪/蔡健林,166天,16.20%,166天/2年又15天
易方达汇诚养老2033(FOF),006859,0.16亿元（2020-09-30）,4.23%,8.93%,12.58%,22.50%,--,27.85%,汪玲,1年又256天,27.85%,2年又16天
上投摩根尚睿混合(FOF),006042,0.49亿元（2020-09-30）,6.21%,10.44%,11.03%,21.74%,--,47.73%,杜习杰/刘凌云,30天,7.59%,1年又131天/2年又149天
博时颐泽平衡养老(FOF),007649,1.42亿元（2020-09-30）,6.16%,11.84%,14.69%,24.30%,--,27.31%,麦静/余军,129天,9.22%,129天/276天
招商和悦稳健养老(FOF)A,006861,3.08亿元（2020-09-30）,3.47%,4.74%,5.83%,14.05%,--,21.96%,章鸽武,1年又260天,21.96%,1年又260天
博时颐泽稳健养老(FOF)A,007070,1.80亿元（2020-09-30）,3.70%,7.31%,8.82%,16.28%,--,19.86%,麦静/余军,129天,5.45%,129天/276天
银华尊和养老2030混合(FOF),007779,0.24亿元（2020-09-30）,7.73%,13.17%,18.19%,35.75%,--,40.72%,熊侃/肖侃宁,1年又148天,40.72%,2年又29天/3年又339天
中欧预见养老2050五年持有(FOF)C,007242,0.02亿元（2020-09-30）,6.54%,14.45%,15.47%,35.40%,--,54.50%,桑磊,1年又246天,54.50%,2年又93天
银华尊和养老2040混合(FOF),007780,0.24亿元（2020-09-30）,9.18%,14.68%,19.82%,44.61%,--,52.16%,熊侃/肖侃宁,1年又148天,52.16%,2年又29天/3年又339天
易方达汇诚养老2043混合(FOF),006292,4.16亿元（2020-09-30）,4.30%,9.81%,13.62%,26.32%,--,40.57%,汪玲,2年又16天,40.57%,2年又16天
汇添富养老2050混合(FOF),007060,0.29亿元（2020-09-30）,10.01%,15.13%,20.48%,45.42%,--,64.31%,李彪/蔡健林,166天,16.28%,166天/2年又15天
银华尊和养老2035混合(FOF),006305,3.57亿元（2020-09-30）,8.32%,12.74%,16.86%,36.98%,--,54.98%,熊侃/肖侃宁,2年又29天,54.98%,2年又29天/3年又339天
工银养老2040(FOF),007650,0.43亿元（2020-09-30）,6.52%,11.60%,14.11%,32.04%,--,39.51%,蒋华安,1年又116天,39.51%,2年又72天
平安养老2035(FOF)C,007239,1.24亿元（2020-09-30）,7.81%,11.32%,13.76%,31.01%,--,43.50%,高莺/张文君,1年又205天,43.50%,1年又205天/1年又206天
华安养老2030三年(FOF),006575,3.07亿元（2020-09-30）,5.42%,9.50%,10.00%,19.70%,--,27.12%,杨志远/何移直,1年又260天,27.12%,1年又260天/1年又260天
天弘养老2035三年(FOF),007748,1.24亿元（2020-09-30）,5.86%,10.41%,12.20%,19.49%,--,23.00%,张庆昌/刘冬,120天,9.69%,163天/3年又80天
银华尊尚稳健养老混合(FOF),007310,0.17亿元（2020-09-30）,3.78%,6.97%,10.77%,19.74%,--,23.45%,熊侃/肖侃宁,1年又150天,23.45%,2年又29天/3年又339天
