基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
兴全稳益定开债发起式,001819,99.69亿元（2020-09-30）,0.85%,0.93%,1.04%,3.56%,18.67%,34.59%,王健/翟秀华,2年又154天,12.18%,2年又154天/4年又300天
汇添富稳添利定开债A,002487,0.38亿元（2020-09-30）,1.20%,0.83%,1.57%,1.38%,9.46%,9.90%,叶盛,72天,0.64%,233天
富国泰利定开债发起式,002483,4.58亿元（2020-09-30）,0.85%,1.28%,1.71%,3.60%,21.08%,24.84%,俞晓斌,1年又298天,8.08%,4年又12天
易方达永旭定开债,161117,14.73亿元（2020-09-30）,0.86%,0.86%,1.54%,3.23%,17.58%,69.79%,李一硕,5年又304天,38.13%,6年又184天
博时富丰3个月定开债,007513,29.84亿元（2020-09-30）,1.10%,1.19%,1.37%,3.51%,--,6.24%,郭思洁/倪玉娟,174天,1.83%,242天/2年又277天
富国目标齐利一年期纯债债券,000469,12.62亿元（2020-09-30）,0.37%,0.64%,1.28%,2.88%,15.60%,35.95%,张洋/黄纪亮,33天,0.37%,228天/7年又320天
易方达恒安定开债发起式,005439,20.78亿元（2020-09-30）,0.41%,0.71%,0.74%,2.08%,--,11.44%,石大怿/王晓晨,1年又50天,2.83%,8年又47天/9年又151天
景顺长城景泰汇利定开债C,008554,0.00亿元（2020-09-30）,0.93%,0.96%,1.48%,3.44%,--,3.90%,何江波/袁媛,1年又23天,3.90%,1年又331天/6年又283天
兴全祥泰定期开放债券,005712,11.19亿元（2020-09-30）,0.96%,1.06%,1.15%,3.94%,--,18.55%,王健/翟秀华,2年又154天,13.11%,2年又154天/4年又300天
平安合悦定开债,005884,20.24亿元（2020-09-30）,1.33%,1.48%,1.46%,3.44%,--,12.45%,余斌,1年又135天,5.39%,3年又87天
汇添富稳添利定开债C,002488,0.00亿元（2020-09-30）,1.13%,0.65%,1.32%,0.94%,8.23%,7.80%,叶盛,72天,0.56%,233天
富国祥利定开债发起式,002782,3.76亿元（2020-09-30）,3.27%,4.21%,3.18%,8.35%,16.44%,19.11%,张明凯,269天,5.27%,5年又340天
银河聚利87个月定开债券,011083,79.00亿元（2020-12-28）,--,--,--,--,--,0.10%,张沛,13天,0.10%,2年又343天
永赢欣益纯债一年定开发起式,008722,10.00亿元（2020-08-06）,0.89%,1.03%,--,--,--,1.09%,卢绮婷,157天,1.09%,2年又140天
嘉实如意宝定期债券C,000115,0.10亿元（2020-09-30）,0.79%,0.87%,0.70%,1.85%,12.03%,40.38%,王立芹,62天,0.52%,80天
中加聚盈四个月定开债C,007062,0.63亿元（2020-09-30）,0.26%,-0.22%,0.23%,2.83%,--,8.55%,闫沛贤,1年又227天,8.55%,7年又83天
富国绿色纯债一年定开债,005383,3.98亿元（2020-09-30）,0.84%,0.85%,1.26%,2.69%,--,16.81%,朱梦娜,1年又295天,6.44%,1年又324天
南方聚利1年定开债C,160134,0.10亿元（2020-09-30）,0.59%,0.78%,0.98%,2.43%,14.17%,31.68%,李慧鹏,1年又319天,5.51%,6年又79天
兴业3个月定开债券,005338,39.96亿元（2020-09-30）,0.84%,0.70%,1.22%,2.70%,--,11.74%,徐青,1年又319天,6.78%,3年又357天
易方达年年恒秋一年定开债C,007998,1.98亿元（2020-09-30）,0.80%,0.91%,1.35%,3.38%,--,4.08%,李一硕,1年又72天,4.08%,6年又184天
易方达年年恒秋一年定开债A,007997,15.31亿元（2020-09-30）,0.82%,0.99%,1.50%,3.69%,--,4.45%,李一硕,1年又72天,4.45%,6年又184天
平安季添盈定开债A,006986,2.03亿元（2020-09-30）,0.87%,0.85%,1.45%,2.73%,--,7.06%,张恒,143天,0.73%,3年又3天
浦银安盛盛元定开债C,519323,0.00亿元（2020-09-30）,0.73%,0.76%,1.40%,3.73%,17.13%,22.56%,章潇枫,3年又217天,19.75%,3年又241天
南方弘利A,002218,23.31亿元（2020-09-30）,1.13%,1.37%,1.67%,4.24%,19.87%,20.47%,陶铄,3年又321天,20.83%,7年又219天
长城久瑞三个月定开债发起式,006045,30.83亿元（2020-09-30）,1.04%,1.24%,1.36%,3.28%,--,3.16%,张棪,1年又136天,3.16%,3年又127天
广发汇康定期开放债券,005745,10.13亿元（2020-09-30）,0.78%,0.82%,1.15%,2.62%,--,10.91%,洪志/谢军,1年又94天,3.82%,2年又1天/14年又124天
平安季添盈定开债E,006988,11.92亿元（2020-09-30）,0.85%,0.78%,1.33%,2.48%,--,6.57%,张恒,143天,0.64%,3年又3天
工银瑞丰半年定开债发起式,002603,147.13亿元（2020-09-30）,1.15%,1.50%,1.52%,2.30%,21.49%,22.46%,李娜,2年又277天,18.09%,3年又352天
海富通弘丰定开债券,005842,20.73亿元（2020-09-30）,1.13%,1.41%,1.47%,3.14%,--,7.66%,刘田/陈轶平,188天,1.01%,188天/7年又136天
景顺长城景泰汇利定开债A,003605,12.14亿元（2020-09-30）,0.93%,0.99%,1.54%,3.55%,15.94%,20.61%,袁媛/何江波,1年又304天,7.29%,6年又283天/1年又331天
易方达年年恒夏一年定开债C,007526,0.34亿元（2020-09-30）,0.95%,0.92%,1.36%,3.43%,--,5.70%,李一硕,1年又184天,5.70%,6年又184天
中银证券汇兴定期开放债券,008863,10.03亿元（2020-09-30）,0.92%,1.18%,--,--,--,1.52%,曹张琪,170天,1.52%,242天
永赢泽利一年定开,007691,2.30亿元（2020-08-24）,0.86%,0.59%,--,--,--,0.67%,陶毅/吴玮,116天,0.65%,244天/1年又87天
招商添利6个月定开债发起式A,006107,25.26亿元（2020-09-30）,0.92%,1.10%,1.01%,2.62%,--,11.04%,康晶/刘万锋,1年又147天,4.16%,5年又160天/5年又363天
农银汇理金丰一年定开债,003050,11.19亿元（2020-09-30）,1.07%,1.69%,1.43%,3.38%,15.24%,15.58%,史向明,4年又149天,15.58%,12年又65天
兴业嘉华一年定开债券发起式,008517,10.02亿元（2020-09-30）,0.91%,1.00%,1.12%,--,--,1.17%,徐青/唐丁祥,18天,0.51%,3年又357天/1年又326天
南方弘利C,002219,0.00亿元（2019-06-30）,1.13%,1.37%,1.67%,4.24%,19.87%,20.47%,陶铄,3年又321天,20.83%,7年又219天
平安合正定开债,005127,31.23亿元（2020-09-30）,0.99%,1.19%,1.60%,4.05%,--,17.44%,张恒,1年又157天,6.49%,3年又3天
富国强回报定开债A/B,100072,4.03亿元（2020-09-30）,0.79%,1.03%,1.47%,3.88%,23.48%,70.81%,黄纪亮,5年又272天,42.91%,7年又320天
招商添荣3个月定开债A,006325,50.05亿元（2020-09-30）,1.17%,1.64%,1.42%,3.21%,--,8.10%,康晶,2年又50天,8.10%,5年又160天
易方达恒惠定开债,006112,10.43亿元（2020-09-30）,0.98%,1.09%,1.13%,2.84%,--,12.78%,胡剑,185天,1.40%,8年又318天
鹏华尊信3个月定开发起式债券,007870,9.69亿元（2020-09-30）,0.90%,0.97%,1.35%,3.33%,--,4.88%,祝松,1年又135天,4.88%,6年又324天
兴业嘉瑞6个月定开债C,003953,0.00亿元（2020-09-30）,0.91%,0.72%,1.10%,2.52%,15.37%,17.90%,徐青,2年又248天,13.34%,3年又357天
农银汇理金利一年定开债,003051,5.11亿元（2020-09-30）,0.98%,1.81%,0.54%,2.33%,13.51%,14.02%,史向明,4年又70天,14.02%,12年又65天
安信永丰定开债券A,003273,0.40亿元（2020-09-30）,0.33%,0.77%,0.83%,2.73%,9.51%,8.63%,潘巍,2年又36天,8.11%,2年又121天
海富通恒丰定开债券,005485,25.24亿元（2020-09-30）,1.06%,1.48%,1.75%,3.42%,--,14.37%,陈轶平,2年又273天,14.37%,7年又136天
浙商兴永三个月定开债发起式,006284,10.05亿元（2020-09-30）,1.01%,1.35%,1.62%,3.41%,--,6.93%,周锦程,1年又262天,6.93%,3年又328天
华泰保兴尊颐定开,006188,4.37亿元（2020-09-30）,0.95%,1.42%,1.61%,3.42%,--,11.75%,周咏梅,2年又169天,11.75%,2年又339天
中融聚明定期开放债券,006120,15.55亿元（2020-09-30）,0.78%,1.15%,1.21%,3.67%,--,9.82%,石霄蒙/哈默/王玥,62天,0.72%,62天/5年又112天/6年又195天
鹏华永盛一年定开债,003662,28.69亿元（2020-09-30）,0.75%,1.00%,1.36%,3.54%,20.33%,23.69%,祝松,4年又13天,23.69%,6年又324天
国泰盛合三个月定开债,007532,10.17亿元（2020-09-30）,0.95%,1.25%,1.21%,2.98%,--,3.72%,黄志翔,1年又78天,3.72%,4年又65天
鹏华尊诚定开债发起式,007500,10.12亿元（2020-09-30）,0.79%,0.64%,1.12%,2.63%,--,5.19%,王志飞,71天,0.25%,71天
平安合瑞定开债,005766,10.76亿元（2020-09-30）,0.90%,1.15%,1.35%,2.84%,--,13.80%,余斌,1年又157天,4.50%,3年又87天
富国强回报定开债C,100073,0.35亿元（2020-09-30）,0.76%,0.95%,1.27%,3.44%,21.81%,63.67%,黄纪亮,5年又272天,38.80%,7年又320天
兴银长益三个月定开债,004122,30.25亿元（2020-09-30）,0.89%,0.99%,1.22%,3.27%,15.87%,18.95%,范泰奇,355天,2.96%,3年又28天
兴业6个月定开债券,005340,40.07亿元（2020-09-30）,0.80%,1.15%,1.42%,2.86%,15.31%,15.38%,腊博,3年又13天,15.38%,6年又345天
汇丰晋信惠安纯债63个月定开债,009748,40.00亿元（2020-10-29）,0.34%,--,--,--,--,0.61%,蔡若林,73天,0.61%,4年又347天
汇添富鑫盛定开债A,005410,39.93亿元（2020-09-30）,0.96%,1.36%,1.56%,3.18%,--,13.98%,胡娜,293天,1.52%,5年又90天
景顺长城景泰宝利一年定开债,009685,5.10亿元（2020-11-02）,0.85%,--,--,--,--,1.02%,何江波/毛从容,69天,1.02%,1年又331天/15年又227天
兴银汇福定开债,001619,9.92亿元（2020-09-30）,1.05%,1.14%,1.30%,3.22%,--,6.85%,范泰奇,221天,0.62%,3年又28天
银华添润定期开放债券,004087,20.49亿元（2020-09-30）,0.84%,1.17%,1.42%,3.28%,16.01%,17.85%,邹维娜,3年又310天,17.85%,7年又158天
兴业安弘3个月定开债,005388,39.93亿元（2020-09-30）,0.85%,1.14%,1.51%,3.23%,12.98%,13.03%,杨逸君,180天,2.08%,5年又64天
国投瑞银顺鑫定开,002964,21.19亿元（2020-09-30）,0.77%,1.25%,1.29%,2.76%,14.35%,15.17%,颜文浩,1年又56天,3.44%,6年又132天
万家恒瑞18个月定开债C,003160,0.00亿元（2020-09-30）,0.77%,0.99%,1.36%,2.81%,10.97%,10.28%,陈奕雯,123天,1.11%,1年又324天
上银聚鸿益三个月定开债,005432,25.02亿元（2020-09-30）,0.79%,0.95%,1.36%,3.31%,--,12.93%,倪侃,1年又155天,5.10%,2年又175天
招商添旭定开债发起式A,007173,10.28亿元（2020-09-30）,0.68%,0.97%,0.99%,2.66%,--,6.39%,马龙,1年又276天,6.39%,6年又291天
融通通裕定开债,002869,20.23亿元（2020-09-30）,0.78%,1.12%,2.32%,5.16%,21.09%,24.60%,张一格,4年又70天,24.60%,7年又237天
浦银安盛盛煊定开债券,007772,50.25亿元（2020-09-30）,0.85%,1.26%,1.39%,2.26%,--,3.29%,章潇枫,1年又157天,3.29%,3年又241天
民生加银平稳增利C,166903,0.19亿元（2020-09-30）,0.78%,0.66%,1.03%,1.00%,11.20%,54.87%,胡振仓,2年又86天,5.73%,11年又259天
永赢智益纯债三个月,007482,40.17亿元（2020-09-30）,0.78%,1.29%,1.37%,2.95%,--,5.64%,徐沛琳,6天,0.20%,128天
中融聚业定期开放债券,005637,15.06亿元（2020-09-30）,0.82%,1.15%,1.86%,3.76%,--,8.40%,朱柏蓉,1年又24天,4.17%,1年又346天
易方达恒兴3个月定开债,007451,10.10亿元（2020-09-30）,0.76%,1.01%,1.22%,2.75%,--,3.40%,王晓晨,30天,0.69%,9年又151天
博时富安3个月定开债,005622,21.04亿元（2020-09-30）,0.89%,1.34%,1.55%,2.86%,--,14.66%,李秋实,187天,1.41%,187天
平安季添盈定开债C,006987,0.07亿元（2020-03-31）,0.85%,0.78%,1.33%,5.06%,--,6.57%,张恒,143天,0.64%,3年又3天
万家恒瑞18个月定开债A,003159,5.30亿元（2020-09-30）,0.80%,1.10%,1.56%,3.21%,12.29%,12.21%,陈奕雯,123天,1.24%,1年又324天
嘉实丰益纯债定期债券,000116,21.37亿元（2020-09-30）,0.53%,0.52%,1.45%,4.28%,16.04%,45.88%,轩璇,1年又14天,4.53%,1年又67天
富国鼎利纯债三个月定开债,004736,9.92亿元（2020-09-30）,0.62%,0.95%,2.18%,3.90%,16.61%,21.80%,黄纪亮/武磊,2年又191天,13.89%,7年又320天/3年又315天
光大尊丰纯债定开债,005426,9.60亿元（2020-09-30）,0.94%,1.07%,1.16%,2.52%,--,4.15%,毕凯/沈荣,149天,1.22%,149天/3年又162天
交银裕坤纯债一年定开,008352,10.03亿元（2020-09-30）,1.09%,1.33%,0.87%,1.66%,--,1.67%,于海颖,1年又16天,1.67%,10年又47天
平安合润定开债,008594,9.92亿元（2020-09-30）,0.86%,0.59%,-0.30%,-0.30%,--,-0.25%,高勇标,5天,0.19%,3年又198天
天弘华享三个月定开债,007220,34.91亿元（2020-09-30）,0.88%,1.20%,1.41%,3.12%,--,5.98%,赵鼎龙/姜晓丽,1年又57天,4.36%,1年又57天/8年又162天
德邦德瑞一年定开债,008486,8.23亿元（2020-09-30）,0.83%,0.95%,0.69%,2.40%,--,2.58%,杨严/戴鹤忠,1年又24天,2.56%,1年又52天/4年又209天
兴全兴泰定期开放债券,004919,30.17亿元（2020-09-30）,0.77%,1.13%,1.79%,3.11%,16.04%,17.06%,田志祥/季伟杰,80天,0.79%,191天/1年又200天
华夏鼎瑞三个月定开债A,004921,15.75亿元（2020-09-30）,1.01%,1.09%,0.66%,2.67%,14.22%,14.71%,刘明宇,2年又25天,7.21%,3年又31天
民生加银平稳增利A,166902,5.49亿元（2020-09-30）,0.81%,0.77%,1.24%,1.39%,12.55%,59.97%,胡振仓,2年又86天,6.68%,11年又259天
富国尊利纯债定开债,005841,34.92亿元（2020-09-30）,0.69%,1.02%,1.38%,3.14%,--,13.84%,武磊/黄纪亮,2年又242天,14.08%,3年又315天/7年又320天
鹏华永诚一年定开债券,000053,11.06亿元（2020-09-30）,0.43%,0.36%,1.37%,2.23%,20.71%,61.76%,刘涛,1年又351天,8.82%,4年又229天
鹏华尊泰一年定开发起式债券,008493,10.30亿元（2020-09-30）,0.53%,0.19%,1.51%,3.19%,--,3.19%,刘涛,1年又17天,3.19%,4年又229天
招商招惠3个月定期开放债券A,003442,66.04亿元（2020-09-30）,0.75%,0.74%,0.86%,1.38%,12.96%,16.34%,夏里鹏,310天,-0.01%,310天
平安合韵定开债,005077,10.00亿元（2020-09-30）,0.78%,1.16%,1.07%,2.29%,--,10.00%,余斌,1年又157天,3.77%,3年又87天
招商招乾3个月定开债A,003269,37.96亿元（2020-09-30）,0.77%,0.64%,0.90%,1.41%,12.38%,36.67%,周欣宇,2年又315天,11.96%,3年又64天
南方兴利定开债券,005024,30.66亿元（2020-09-30）,0.68%,0.88%,1.21%,3.01%,15.79%,16.36%,李璇,1年又358天,6.99%,10年又113天
中欧兴华债券,005736,39.98亿元（2020-09-30）,0.99%,1.22%,1.39%,2.78%,--,10.34%,洪慧梅,163天,1.42%,4年又340天
华夏鼎瑞三个月定开债C,004922,0.00亿元（2018-09-21）,1.00%,3.73%,3.73%,3.73%,3.73%,3.73%,刘明宇,2年又25天,0.91%,3年又31天
南方宣利定开债C,003777,0.00亿元（2020-09-30）,1.23%,-0.92%,-0.77%,1.47%,14.29%,13.90%,杜才超,1年又61天,2.09%,4年又33天
国泰兴富三个月定开债,007278,10.15亿元（2020-09-30）,0.88%,1.08%,1.52%,3.22%,--,5.15%,黄志翔,303天,1.44%,4年又65天
安信永丰定开债券C,003274,0.13亿元（2020-09-30）,0.33%,0.72%,0.72%,2.53%,8.86%,7.68%,潘巍,2年又36天,7.68%,2年又121天
中信嘉鑫3个月定开债,005617,64.75亿元（2020-09-30）,0.96%,1.36%,1.37%,2.26%,--,14.35%,吴胤希,2年又346天,14.35%,4年又89天
光大尊富18个月定开债C,003066,0.04亿元（2020-09-30）,0.71%,1.11%,1.39%,4.04%,7.78%,7.79%,沈荣,2年又230天,6.39%,3年又162天
泰达宏利交利3个月定开债A,005315,10.65亿元（2020-09-30）,0.76%,1.09%,1.39%,3.03%,13.59%,13.79%,傅浩,3年又15天,13.79%,3年又311天
招商招乾3个月定开债C,003270,0.00亿元（2020-09-30）,0.79%,0.67%,0.97%,1.49%,12.18%,31.56%,周欣宇,2年又315天,11.83%,3年又64天
汇添富鑫永定开债A,005590,57.58亿元（2020-09-30）,0.60%,0.92%,1.27%,2.64%,--,14.29%,胡娜,1年又135天,3.72%,5年又90天
西部利得聚利6个月定开债A,007375,0.58亿元（2020-09-30）,0.65%,0.81%,0.87%,2.72%,--,5.67%,严志勇,1年又179天,5.67%,3年又155天
鹏华尊晟定期开放发起式债券,007544,10.51亿元（2020-09-30）,0.93%,1.24%,1.58%,2.47%,--,4.19%,祝松,1年又206天,4.19%,6年又324天
平安惠金定开债A,003024,3.60亿元（2020-09-30）,0.35%,0.54%,0.79%,2.10%,14.98%,17.08%,田元强,130天,0.73%,2年又46天
天弘荣享定开债,005871,29.86亿元（2020-09-30）,0.79%,0.67%,1.07%,2.96%,--,12.04%,姜晓丽,2年又200天,12.04%,8年又162天
银华岁丰定期开放债券发起式,005286,5.33亿元（2020-09-30）,0.86%,1.05%,1.29%,3.27%,--,15.29%,吴文明,2年又334天,15.29%,3年又302天
大成惠兴一年定开债券,008938,10.02亿元（2020-09-30）,0.85%,0.86%,1.07%,--,--,1.09%,杨艳林/李富强,192天,1.07%,192天/4年又104天
平安惠金定开债C,006717,20.42亿元（2020-09-30）,0.33%,0.52%,0.75%,2.01%,--,7.62%,田元强,130天,0.70%,2年又46天
富国臻利纯债定开债券,005369,45.04亿元（2020-09-30）,0.88%,1.11%,1.43%,2.99%,--,14.66%,武磊/黄纪亮,2年又273天,14.66%,3年又315天/7年又320天
中金新辉1年,009450,10.05亿元（2020-09-30）,0.89%,1.10%,1.54%,--,--,1.64%,董珊珊,205天,1.64%,1年又327天
万家强化收益定开债,161911,3.50亿元（2020-09-30）,0.54%,0.55%,1.06%,3.38%,18.11%,58.43%,陈奕雯/苏谋东,1年又324天,7.08%,1年又324天/7年又228天
富国汇利回报两年定期开放债券,161014,5.12亿元（2020-09-30）,0.59%,0.95%,1.34%,4.53%,22.00%,91.52%,张洋/黄纪亮,228天,1.88%,228天/7年又320天
招商招诚定开债发起式,005719,15.15亿元（2020-09-30）,0.82%,1.16%,1.65%,3.61%,--,8.57%,郭敏/许强,1年又134天,5.35%,2年又35天/4年又340天
中欧同益一年定期开放债券,008739,10.18亿元（2020-09-30）,0.74%,0.94%,0.83%,2.78%,--,2.79%,洪慧梅,163天,1.17%,4年又340天
易方达恒益定开债券发起式,005124,39.77亿元（2020-09-30）,1.03%,0.65%,0.96%,2.36%,14.36%,15.30%,胡剑,11天,0.32%,8年又318天
国投瑞银和泰6个月债券,005019,30.50亿元（2020-09-30）,0.80%,1.20%,1.25%,2.44%,14.39%,15.24%,宋璐/蔡玮菁,1年又182天,4.53%,4年又169天/5年又315天
南方宣利定开债A,003776,5.43亿元（2020-09-30）,1.26%,-0.81%,-0.58%,1.87%,15.61%,15.73%,杜才超,1年又61天,2.51%,4年又33天
圆信永丰兴瑞定开债,005436,20.13亿元（2020-09-30）,0.79%,1.03%,1.38%,3.01%,--,12.45%,康芳华/林铮,32天,0.76%,32天/4年又275天
长城定开债C,000255,0.28亿元（2020-09-30）,0.24%,0.65%,0.23%,5.25%,11.08%,48.30%,张棪,177天,3.94%,3年又127天
南方远利3个月定开债,008226,12.12亿元（2020-09-30）,0.82%,1.04%,1.35%,2.24%,--,2.35%,何康/王啸,256天,-0.51%,6年又56天/4年又33天
兴业瑞丰6个月定开债,004141,30.51亿元（2020-09-30）,0.61%,0.41%,0.59%,1.99%,14.84%,17.61%,冯小波/徐莹,18天,0.35%,5年又265天/6年又305天
汇添富鑫益定开债发起式A,004469,16.03亿元（2020-09-30）,0.72%,1.06%,1.25%,2.66%,11.23%,14.55%,徐一恒,1年又129天,3.91%,1年又129天
南方鑫利3个月定开债,007025,3.25亿元（2020-09-30）,0.59%,0.79%,1.10%,1.84%,--,5.56%,王啸,256天,-0.37%,4年又33天
蜂巢丰业一年定开债发起式,008568,10.04亿元（2020-09-30）,0.85%,1.15%,1.72%,3.03%,--,3.07%,金之洁/廖新昌,132天,1.35%,256天/1年又346天
华泰保兴尊信定开债,005645,2.78亿元（2020-09-30）,0.54%,0.84%,1.20%,3.56%,--,14.31%,周咏梅,2年又339天,14.31%,2年又339天
南方惠利6个月定开债A,006995,4.50亿元（2020-09-30）,1.16%,1.64%,1.73%,4.19%,--,7.53%,金凌志,1年又291天,7.53%,3年又167天
长城定开债A,000254,1.91亿元（2020-09-30）,0.27%,0.75%,0.44%,5.67%,12.35%,52.64%,张棪,177天,4.14%,3年又127天
汇添富鑫利定开债券C,003533,0.00亿元（2020-09-30）,0.65%,0.96%,1.08%,2.34%,11.01%,13.06%,杨靖,293天,1.13%,1年又323天
国富恒裕6个月定开债,005822,11.12亿元（2020-09-30）,0.59%,0.86%,0.95%,2.19%,--,11.00%,沈竹熙,1年又93天,3.36%,2年又230天
易方达恒信定期开放债券,005740,62.24亿元（2020-09-30）,0.88%,1.16%,1.37%,2.69%,--,12.91%,李一硕,2年又290天,12.91%,6年又184天
浙商惠泉3个月定开债A,007224,2.50亿元（2020-09-30）,0.85%,1.36%,1.28%,1.59%,--,1.63%,陈亚芳/刘爱民/周锦程,73天,0.96%,73天/2年又361天/3年又328天
中融季季红定开债A,005713,31.24亿元（2020-09-30）,0.69%,1.16%,1.18%,3.70%,--,13.26%,王玥,1年又248天,5.92%,6年又195天
招商添韵3个月定开债A,007908,10.28亿元（2020-09-30）,0.71%,1.05%,1.19%,2.39%,--,2.81%,康晶,1年又66天,2.81%,5年又160天
中邮纯债汇利定开债,005786,2.12亿元（2020-09-30）,0.78%,1.02%,1.25%,3.35%,--,9.15%,张悦/闫宜乘,68天,0.83%,68天/255天
泰达宏利交利3个月定开债C,005316,0.00亿元（2019-06-30）,0.76%,1.09%,1.39%,3.03%,4.60%,4.79%,傅浩,3年又15天,4.79%,3年又311天
安信永盛定开债券,005677,16.69亿元（2020-09-30）,0.68%,1.03%,1.28%,2.48%,--,9.62%,李巍/庄园,2年又198天,8.59%,2年又198天/7年又172天
鹏华尊悦3个月定开债,005831,40.25亿元（2020-09-30）,0.73%,0.68%,1.26%,2.50%,--,16.17%,刘涛,1年又115天,3.72%,4年又229天
国投瑞银顺银定开债,005435,12.38亿元（2020-09-30）,0.72%,1.11%,1.49%,2.53%,--,10.39%,李鸥,58天,0.88%,1年又64天
中加颐瑾定开债券A,006963,20.43亿元（2020-09-30）,0.79%,1.32%,1.28%,2.50%,--,4.48%,王霈,312天,0.91%,326天
汇添富鑫泽定开债A,004831,34.75亿元（2020-09-30）,0.90%,0.41%,0.34%,0.86%,--,8.99%,刘通,293天,-0.92%,293天
