基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
华宝标普美国消费人民币A,162415,2.08亿元（2020-09-30）,4.75%,7.33%,16.37%,19.77%,57.50%,100.50%,周晶,4年又299天,100.50%,7年又208天
易方达标普医疗保健人民币,161126,0.44亿元（2020-09-30）,4.83%,8.03%,9.30%,10.54%,37.28%,57.68%,FAN BING(范冰),262天,15.69%,3年又292天
易标普信息科技人民币,161128,8.35亿元（2020-09-30）,1.52%,4.95%,11.54%,26.36%,87.07%,133.72%,FAN BING(范冰),262天,33.79%,3年又292天
易方达标普消费品指数A,118002,0.43亿元（2020-09-30）,2.37%,15.96%,23.31%,22.72%,42.22%,158.70%,张胜记,296天,75.15%,10年又290天
交银中证海外中国互联网指数,164906,17.33亿元（2020-09-30）,2.67%,10.03%,10.45%,39.16%,34.12%,99.70%,蔡铮,5年又230天,99.70%,8年又16天
大成纳斯达克100,000834,9.69亿元（2020-09-30）,1.62%,7.73%,13.90%,32.95%,85.05%,188.50%,冉凌浩,6年又60天,188.50%,9年又140天
长信标普100等权重指数,519981,0.34亿元（2020-09-30）,2.39%,13.90%,18.23%,11.46%,28.20%,135.05%,傅瑶纯,249天,25.88%,1年又9天
华宝标普美国消费人民币C,009975,0.20亿元（2020-09-30）,4.71%,7.18%,--,--,--,11.60%,周晶,163天,11.60%,7年又208天
易标普生物科技人民币,161127,0.78亿元（2020-09-30）,6.86%,24.64%,16.73%,40.19%,57.20%,96.85%,FAN BING(范冰),262天,39.86%,3年又292天
国泰纳斯达克100指数,160213,6.61亿元（2020-09-30）,1.77%,7.67%,13.15%,34.64%,90.03%,509.62%,吴向军,2年又126天,63.36%,7年又261天
广发纳斯达克100指数A,270042,20.29亿元（2020-09-30）,1.44%,7.16%,12.48%,31.95%,86.99%,345.32%,刘杰,1年又274天,57.88%,6年又286天
易方达纳斯达克100人民币,161130,6.84亿元（2020-09-30）,1.36%,6.77%,12.27%,31.35%,82.50%,97.24%,FAN BING(范冰),262天,34.46%,3年又292天
广发全球医疗保健(QDII),000369,1.78亿元（2020-09-30）,2.15%,2.38%,1.79%,3.83%,32.51%,93.76%,刘杰,2年又113天,17.17%,6年又286天
易方达标普500指数人民币,161125,3.43亿元（2020-09-30）,1.72%,6.80%,10.33%,7.18%,36.97%,53.36%,刘树荣/FAN BING(范冰),2年又153天,25.79%,3年又177天/3年又292天
天弘中证中美互联网(QDII)C,009226,0.11亿元（2020-09-30）,1.17%,7.29%,10.90%,--,--,19.84%,胡超,228天,19.84%,1年又109天
易方达中证海外联接人民币A,006327,7.63亿元（2020-09-30）,-1.63%,1.72%,7.41%,33.63%,--,57.00%,FAN BING(范冰)/余海燕,1年又358天,57.00%,3年又292天/9年又57天
博时标普500ETF联接A,050025,7.77亿元（2020-09-30）,1.83%,7.12%,10.79%,9.43%,38.03%,192.17%,汪洋/万琼,4年又240天,80.26%,5年又355天/5年又218天
中银标普全球资源等权重指数,000049,0.26亿元（2020-09-30）,8.60%,23.81%,25.85%,10.92%,15.76%,30.00%,陈学林,7年又299天,30.00%,7年又299天
上投富时发达市场REITs,005613,2.77亿元（2020-09-30）,-2.66%,3.61%,1.25%,-19.29%,--,3.02%,张军,3天,0.00%,12年又311天
广发美国房地产指数,000179,0.87亿元（2020-09-30）,-3.89%,1.54%,0.00%,-17.58%,1.15%,43.37%,刘杰,2年又113天,-7.50%,6年又286天
博时标普500ETF联接C,006075,1.64亿元（2020-09-30）,1.80%,7.00%,10.55%,8.91%,--,36.38%,万琼/汪洋,2年又218天,36.38%,5年又218天/5年又355天
华宝富时100(QDII)C,010344,0.02亿元（2020-11-10）,3.43%,--,--,--,--,3.81%,周晶,61天,3.81%,7年又208天
广发纳斯达克100美元现汇C,006480,3.49亿元（2020-09-30）,2.62%,12.90%,22.29%,42.07%,--,78.00%,刘杰,1年又274天,63.51%,6年又286天
华宝标普油气上游股票人民币A,162411,32.49亿元（2020-09-30）,11.58%,47.19%,21.43%,-24.14%,-47.63%,-67.53%,周晶,6年又116天,-72.51%,7年又208天
南方道琼斯美国精选A,160140,0.50亿元（2020-09-30）,-4.01%,2.13%,0.33%,-19.37%,-3.17%,-6.04%,黄亮,3年又77天,-6.04%,11年又200天
建信富时100指数(QDII)人民币C,008706,0.28亿元（2020-09-30）,3.85%,15.80%,7.40%,--,--,-11.30%,李博涵,1年又1天,-11.30%,7年又160天
广发生物科技指数(QDII),001092,0.91亿元（2020-09-30）,4.89%,9.24%,0.64%,14.58%,30.68%,26.50%,刘杰,2年又113天,15.10%,6年又286天
招商标普金砖四国指数,161714,0.14亿元（2020-09-30）,2.66%,11.48%,6.64%,0.96%,8.04%,15.60%,白海峰,4年又64天,43.60%,4年又243天
易方达标普消费品指数美元现汇A,000593,0.43亿元（2020-09-30）,3.57%,22.22%,34.18%,32.36%,42.90%,70.89%,张胜记,296天,92.59%,10年又290天
华安纳斯达克100指数现汇,040048,16.81亿元（2020-09-30）,2.71%,13.36%,23.34%,48.36%,94.17%,260.26%,倪斌,2年又105天,71.79%,2年又123天
华宝标普油气上游股票人民币C,007844,1.86亿元（2020-09-30）,11.52%,47.00%,21.17%,--,--,-18.25%,周晶,361天,-18.25%,7年又208天
广发全球医疗保健美元,000370,1.78亿元（2020-09-30）,3.34%,7.92%,10.77%,12.00%,33.17%,84.03%,刘杰,2年又113天,24.30%,6年又286天
易方达纳斯达克100美元汇,003722,6.84亿元（2020-09-30）,2.52%,12.53%,22.17%,41.67%,83.36%,108.25%,FAN BING(范冰),262天,47.49%,3年又292天
广发道琼斯石油指数人民币C,004243,0.54亿元（2020-09-30）,8.91%,40.88%,16.11%,-13.60%,-19.89%,-15.39%,刘杰,1年又274天,-17.22%,6年又286天
建信富时100指数(QDII)人民币A,539003,0.51亿元（2020-09-30）,3.88%,15.94%,7.61%,-12.32%,-13.08%,-17.29%,李博涵,2年又340天,-6.60%,7年又160天
广发纳斯达克100美元现汇A,000055,20.29亿元（2020-09-30）,2.62%,12.95%,22.40%,42.31%,87.89%,199.86%,刘杰,1年又274天,64.25%,6年又286天
易方达标普医疗保健美元汇,003719,0.44亿元（2020-09-30）,6.08%,13.91%,18.96%,19.25%,37.99%,68.58%,FAN BING(范冰),262天,26.94%,3年又292天
天弘中证中美互联网(QDII)A,009225,0.09亿元（2020-09-30）,1.20%,7.37%,11.06%,--,--,20.04%,胡超,228天,20.04%,1年又109天
华安标普全球石油指数,160416,12.36亿元（2020-09-30）,4.49%,23.53%,5.00%,-18.85%,-15.17%,-10.52%,倪斌,2年又105天,-25.26%,2年又123天
华安纳斯达克100指数现钞,040047,16.81亿元（2020-09-30）,2.71%,13.36%,23.34%,48.36%,94.17%,260.26%,倪斌,2年又105天,71.79%,2年又123天
易方达中证海外联接美元C,006330,0.49亿元（2020-09-30）,-0.50%,7.10%,16.67%,43.54%,--,62.38%,FAN BING(范冰)/余海燕,1年又358天,62.38%,3年又292天/9年又57天
易方达中证海外联接人民币C,006328,0.49亿元（2020-09-30）,-1.66%,1.60%,7.18%,33.08%,--,55.03%,FAN BING(范冰)/余海燕,1年又358天,55.03%,3年又292天/9年又57天
广发道琼斯石油指数人民币A,162719,2.46亿元（2020-09-30）,8.95%,41.08%,16.43%,-13.23%,-20.54%,-15.89%,刘杰,1年又274天,-17.03%,6年又286天
广发恒生中国企业(QDII)C,006779,0.06亿元（2020-09-30）,2.79%,10.12%,-3.35%,-4.75%,--,-1.97%,刘杰,153天,2.99%,6年又286天
华宝标普美国消费美元,002423,2.08亿元（2020-09-30）,5.98%,13.12%,26.60%,29.18%,58.24%,101.36%,周晶,4年又299天,101.36%,7年又208天
易标普信息科技美元汇,003721,8.35亿元（2020-09-30）,2.73%,10.64%,21.41%,36.32%,87.95%,149.69%,FAN BING(范冰),262天,46.83%,3年又292天
易方达中证海外联接美元A,006329,7.63亿元（2020-09-30）,-0.49%,7.24%,16.88%,44.13%,--,64.41%,FAN BING(范冰)/余海燕,1年又358天,64.41%,3年又292天/9年又57天
易标普生物科技美元汇,003720,0.78亿元（2020-09-30）,8.13%,31.39%,27.01%,51.22%,57.96%,110.28%,FAN BING(范冰),262天,53.42%,3年又292天
建信富时100指数(QDII)美元现汇C,008708,0.28亿元（2020-09-30）,5.08%,22.15%,16.85%,--,--,-4.76%,李博涵,1年又1天,-4.76%,7年又160天
广发道琼斯石油指数美元现汇A,006679,2.46亿元（2020-09-30）,10.25%,48.80%,26.78%,-6.40%,--,-7.20%,刘杰,1年又274天,-13.66%,6年又286天
南方道琼斯美国精选C,160141,0.26亿元（2020-09-30）,-4.04%,2.05%,0.14%,-19.64%,-4.32%,-7.21%,黄亮,3年又77天,-7.21%,11年又200天
上投富时发达市场REITs美钞,005614,2.77亿元（2020-09-30）,-1.48%,9.25%,10.23%,-12.94%,--,0.63%,张军,3天,0.00%,12年又311天
易方达标普500指数美元汇,003718,3.43亿元（2020-09-30）,2.90%,12.57%,20.08%,15.64%,37.62%,63.27%,刘树荣/FAN BING(范冰),2年又153天,33.60%,3年又177天/3年又292天
广发美国房地产指数现汇,000180,0.87亿元（2020-09-30）,-2.74%,7.08%,8.86%,-11.08%,1.65%,37.20%,刘杰,2年又113天,-1.90%,6年又286天
广发道琼斯石油指数美元现汇C,006680,0.54亿元（2020-09-30）,10.18%,48.53%,26.45%,-6.76%,--,-7.42%,刘杰,1年又274天,-13.87%,6年又286天
易方达中证浙江新动能ETF(QDII)联接C,007814,0.04亿元（2020-09-30）,7.70%,12.67%,12.61%,--,--,17.46%,刘树荣/杨俊,257天,17.46%,3年又177天/3年又202天
华宝富时100(QDII)A,010343,0.09亿元（2020-11-10）,3.46%,--,--,--,--,3.87%,周晶,61天,3.87%,7年又208天
华宝标普油气上游股票美元A,001481,32.49亿元（2020-09-30）,13.03%,55.25%,32.37%,-18.08%,-47.33%,-58.08%,周晶,5年又208天,-58.08%,7年又208天
上投富时发达市场REITs美汇,005615,2.77亿元（2020-09-30）,-1.48%,9.25%,10.23%,-12.94%,--,0.63%,张军,3天,0.00%,12年又311天
广发生物科技指数美元,001093,0.91亿元（2020-09-30）,6.12%,15.18%,9.51%,23.61%,31.32%,20.20%,刘杰,2年又113天,22.07%,6年又286天
建信富时100指数(QDII)美元现汇A,008707,0.51亿元（2020-09-30）,5.08%,22.17%,17.09%,--,--,-4.84%,李博涵,1年又1天,-4.84%,7年又160天
华安纳斯达克100指数,040046,16.81亿元（2020-09-30）,1.54%,7.54%,13.33%,37.55%,93.23%,276.60%,倪斌,2年又105天,61.35%,2年又123天
广发恒生中国企业(QDII)A,006778,0.17亿元（2020-09-30）,2.82%,10.23%,-3.17%,-4.38%,--,-2.24%,刘杰,153天,3.16%,6年又286天
易方达中证浙江新动能ETF(QDII)联接A,007813,0.06亿元（2020-09-30）,7.72%,12.73%,12.72%,--,--,17.61%,刘树荣/杨俊,257天,17.60%,3年又177天/3年又202天
