基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
国泰中证生物医药ETF联接A,006756,2.75亿元（2020-09-30）,4.25%,-0.36%,2.41%,59.40%,--,89.43%,梁杏,30天,7.19%,4年又217天
华夏中证人工智能主题ETF联接C,008586,1.40亿元（2020-09-30）,-0.92%,2.28%,-9.13%,--,--,-8.90%,李俊,208天,-8.90%,3年又31天
天弘中证计算机ETF联接C,001630,13.33亿元（2020-09-30）,1.11%,1.08%,-10.89%,17.16%,34.01%,-7.88%,张子法,1年又60天,27.93%,3年又269天
广发京津冀ETF联接C,005804,0.06亿元（2020-09-30）,0.60%,4.84%,3.62%,12.63%,--,-8.21%,霍华明,2年又267天,-8.21%,3年又266天
国泰中证全指通信设备ETF联接C,007818,1.98亿元（2020-09-30）,-4.96%,-6.97%,-19.07%,-0.22%,--,2.03%,艾小军,1年又130天,2.03%,6年又364天
南方房地产ETF联接E,010989,--亿元（--）,--,--,--,--,--,-5.61%,罗文杰,23天,-5.61%,7年又265天
华安CES港股通ETF联接C,005814,0.05亿元（2020-09-30）,7.18%,14.00%,7.16%,10.24%,--,13.61%,苏圻涵/倪斌,2年又72天,26.19%,14年又73天/2年又123天
国泰中证生物医药ETF联接C,006757,7.31亿元（2020-09-30）,4.22%,-0.44%,2.25%,58.94%,--,87.75%,梁杏,30天,7.16%,4年又217天
南方恒指ETF联接C,005659,0.38亿元（2020-09-30）,5.56%,13.81%,-0.29%,-4.95%,--,-4.71%,罗文杰,2年又308天,-4.71%,7年又265天
南方房地产ETF联接C,004643,1.64亿元（2020-09-30）,-7.24%,-9.02%,-17.11%,-8.44%,-23.50%,-15.44%,罗文杰,3年又140天,-15.44%,7年又265天
南方恒指ETF联接A,501302,0.83亿元（2020-09-30）,5.60%,13.93%,-0.09%,-4.58%,-3.81%,6.55%,罗文杰,3年又174天,6.55%,7年又265天
国泰中证计算机主题ETF联接A,160224,4.85亿元（2020-09-30）,1.26%,4.65%,-2.85%,29.55%,28.19%,6.47%,艾小军,5年又292天,6.47%,6年又364天
南方房地产ETF联接A,004642,1.32亿元（2020-09-30）,-7.21%,-8.92%,-16.94%,-8.07%,-22.58%,-14.30%,罗文杰,3年又140天,-14.30%,7年又265天
广发信息技术联接A,000942,3.29亿元（2020-09-30）,-0.63%,0.84%,-9.54%,17.15%,27.10%,31.78%,霍华明/陆志明,3年又266天,30.44%,3年又266天/9年又224天
华夏中证5G通信主题ETF联接C,008087,47.49亿元（2020-09-30）,0.48%,2.72%,-11.57%,19.20%,--,22.55%,李俊,1年又32天,22.55%,3年又31天
天弘中证计算机ETF联接A,001629,4.63亿元（2020-09-30）,1.13%,1.13%,-10.80%,17.39%,34.82%,-6.76%,张子法,1年又60天,28.22%,3年又269天
华夏中证全指房地产ETF联接C,008089,0.27亿元（2020-09-30）,-7.21%,-9.04%,-16.31%,-9.06%,--,-9.26%,李俊,1年又44天,-9.26%,3年又31天
招商深证TMT50ETF联接C,004409,0.26亿元（2020-09-30）,9.25%,13.84%,5.73%,39.73%,37.30%,44.16%,刘重杰/苏燕青,152天,11.25%,2年又251天/3年又363天
南方小康ETF联接A,202021,4.11亿元（2020-09-30）,4.37%,13.06%,14.77%,21.25%,11.80%,60.12%,龚涛/崔蕾,1年又183天,29.63%,1年又183天/2年又64天
广发信息技术联接C,002974,6.19亿元（2020-09-30）,-0.65%,0.79%,-9.64%,16.91%,26.33%,14.12%,霍华明/陆志明,3年又266天,29.48%,3年又266天/9年又224天
南方H股联接A,005554,0.36亿元（2020-09-30）,4.37%,11.06%,-5.04%,-4.60%,--,-2.79%,孙伟,289天,8.23%,5年又235天
华夏中证全指房地产ETF联接A,008088,0.36亿元（2020-09-30）,-7.19%,-8.96%,-16.18%,-8.79%,--,-8.96%,李俊,1年又44天,-8.96%,3年又31天
南方小康ETF联接C,004346,0.02亿元（2020-09-30）,4.34%,12.94%,14.54%,20.77%,10.63%,25.90%,龚涛/崔蕾,1年又183天,28.85%,1年又183天/2年又64天
招商深证TMT50ETF联接A,217019,2.24亿元（2020-09-30）,9.28%,13.97%,5.94%,40.29%,38.88%,119.02%,刘重杰/苏燕青,152天,11.44%,2年又251天/3年又363天
华安CES港股通ETF联接A,005813,0.12亿元（2020-09-30）,7.22%,14.13%,7.38%,10.67%,--,12.52%,苏圻涵/倪斌,2年又72天,26.71%,14年又73天/2年又123天
南方中证500信息技术联接C,004347,5.33亿元（2020-09-30）,-6.60%,-7.06%,-18.66%,2.24%,23.07%,23.41%,孙伟,3年又322天,23.41%,5年又235天
嘉实新兴科技100ETF联接C,007816,0.66亿元（2020-09-30）,6.80%,6.54%,-0.06%,32.93%,--,43.59%,高峰/金猛/李直,1年又71天,43.59%,1年又284天/2年又113天/3年又16天
华夏创新100ETF联接A,008199,0.34亿元（2020-09-30）,6.96%,16.57%,13.90%,--,--,39.75%,荣膺,256天,39.75%,5年又67天
国泰中证计算机主题ETF联接C,010210,--亿元（--）,1.23%,--,--,--,--,1.36%,艾小军,38天,1.36%,6年又364天
华夏创新100ETF联接C,008200,0.16亿元（2020-09-30）,6.93%,16.48%,13.72%,--,--,39.46%,荣膺,256天,39.46%,5年又67天
南方粤港澳大湾区ETF联接C,009080,0.08亿元（2020-09-30）,6.97%,17.49%,16.45%,--,--,43.05%,崔蕾,290天,43.05%,2年又64天
富国中证科技50策略ETF联接C,008750,1.16亿元（2020-09-30）,5.76%,9.24%,0.88%,--,--,18.28%,王乐乐,325天,18.28%,5年又155天
景顺中证科技传媒通信150ETF联接,001361,4.80亿元（2020-09-30）,2.17%,5.31%,-5.76%,21.84%,23.44%,-24.70%,崔俊杰,26天,5.17%,7年又72天
海富通中证长三角领先ETF联接,008832,2.69亿元（2020-08-17）,4.18%,8.51%,--,--,--,6.96%,江勇,146天,6.96%,2年又185天
南方大盘红利50ETF联接C,008164,0.38亿元（2020-09-30）,0.29%,6.79%,3.97%,--,--,9.95%,崔蕾,355天,9.95%,2年又64天
南方大盘红利50ETF联接A,008163,8.01亿元（2020-09-30）,0.33%,6.91%,4.18%,--,--,10.38%,崔蕾,355天,10.38%,2年又64天
工银湾创100ETF联接C,008053,0.18亿元（2020-09-30）,6.60%,16.08%,12.55%,29.95%,--,29.98%,刘伟琳,1年又17天,29.98%,6年又87天
大成有色金属期货ETF联接A,007910,0.31亿元（2020-09-30）,3.59%,11.51%,15.36%,9.77%,--,10.03%,李绍,1年又73天,10.03%,1年又79天
南方粤港澳大湾区ETF联接A,009079,0.27亿元（2020-09-30）,6.98%,17.53%,16.51%,--,--,43.16%,崔蕾,290天,43.16%,2年又64天
国泰中证全指家用电器ETF联接A,008713,0.29亿元（2020-09-30）,7.60%,21.12%,24.27%,--,--,47.42%,徐成城,282天,47.42%,3年又342天
华宝上证180价值联接,240016,0.88亿元（2020-09-30）,-0.05%,8.58%,5.42%,12.68%,18.70%,123.81%,丰晨成,5年又60天,51.50%,5年又60天
鹏华股息龙头ETF联接A,008622,0.01亿元（2020-09-30）,1.18%,9.40%,12.65%,--,--,17.12%,罗英宇/罗捷,19天,4.15%,19天/2年又345天
国泰中证全指家用电器ETF联接C,008714,0.84亿元（2020-09-30）,7.57%,21.02%,24.07%,--,--,47.09%,徐成城,282天,47.09%,3年又342天
国泰中证钢铁ETF联接A,008189,0.22亿元（2020-09-30）,3.13%,10.88%,8.11%,--,--,21.89%,徐成城/梁杏,356天,21.89%,3年又342天/4年又217天
大成有色金属期货ETF联接C,007911,1.71亿元（2020-09-30）,3.56%,11.39%,15.13%,9.33%,--,9.52%,李绍,1年又73天,9.52%,1年又79天
华安上证龙头ETF联接,040190,0.61亿元（2020-09-30）,4.81%,9.52%,3.47%,21.13%,10.27%,61.10%,刘璇子/苏卿云,69天,8.19%,69天/4年又23天
天弘中证电子ETF联接C,001618,17.72亿元（2020-09-30）,5.31%,12.44%,3.10%,41.39%,53.33%,55.19%,林心龙/杨超,43天,7.06%,43天/5年又313天
天弘中证电子ETF联接A,001617,5.75亿元（2020-09-30）,5.33%,12.50%,3.20%,41.67%,54.28%,57.21%,林心龙/杨超,43天,7.08%,43天/5年又313天
广发湾创100ETF联接A,008100,0.46亿元（2020-09-30）,6.79%,16.70%,13.31%,--,--,27.79%,刘杰,234天,27.79%,6年又286天
华宝科技ETF联接C,007874,8.77亿元（2020-09-30）,10.85%,14.65%,4.45%,46.66%,--,65.87%,胡洁,250天,29.46%,8年又88天
富国中证科技50策略ETF联接A,008749,5.32亿元（2020-09-30）,5.79%,9.35%,1.08%,--,--,18.70%,王乐乐,325天,18.70%,5年又155天
鹏华股息龙头ETF联接C,008623,2.07亿元（2020-09-30）,1.17%,9.39%,12.64%,--,--,17.11%,罗英宇/罗捷,19天,4.15%,19天/2年又345天
广发湾创100ETF联接C,008101,0.26亿元（2020-09-30）,6.78%,16.67%,13.26%,--,--,27.71%,刘杰,234天,27.71%,6年又286天
广发京津冀ETF联接A,005803,0.15亿元（2020-09-30）,0.62%,4.91%,3.73%,12.85%,--,-7.70%,霍华明,2年又267天,-7.70%,3年又266天
国泰中证全指通信设备ETF联接A,007817,1.09亿元（2020-09-30）,-4.93%,-6.90%,-18.95%,0.08%,--,2.54%,艾小军,1年又130天,2.54%,6年又364天
嘉实新兴科技100ETF联接A,007815,1.33亿元（2020-09-30）,6.82%,6.61%,0.05%,33.20%,--,43.94%,高峰/金猛/李直,1年又71天,43.94%,1年又284天/2年又113天/3年又16天
南方银行ETF联接C,004598,2.72亿元（2020-09-30）,-0.15%,10.79%,1.12%,4.90%,22.50%,25.37%,孙伟,3年又196天,25.37%,5年又235天
华宝科技ETF联接A,007873,10.23亿元（2020-09-30）,10.89%,14.77%,4.65%,47.23%,--,66.75%,胡洁,250天,29.81%,8年又88天
易方达中证国企带路发起式联接C,007789,0.12亿元（2020-09-30）,6.81%,17.91%,17.77%,--,--,29.43%,刘树荣/杨俊,296天,31.40%,3年又177天/3年又202天
富国中证国企一带一路ETF联接C,007787,0.03亿元（2020-09-30）,6.56%,16.96%,15.75%,24.37%,--,24.37%,王乐乐/王保合,1年又11天,24.37%,5年又155天/9年又316天
添富中证国企一带一路ETF联接C,008908,0.23亿元（2020-09-30）,6.23%,16.72%,19.06%,--,--,32.91%,董瑾/吴振翔,311天,32.91%,1年又38天/10年又341天
华安中证500低波ETF联接A,006129,0.05亿元（2020-09-30）,-2.41%,0.27%,-4.67%,11.70%,--,25.80%,苏卿云,1年又361天,25.80%,4年又23天
易方达中证国企带路发起式联接A,007788,0.21亿元（2020-09-30）,6.82%,17.96%,17.84%,--,--,29.72%,刘树荣/杨俊,296天,31.58%,3年又177天/3年又202天
南方银行ETF联接A,004597,7.92亿元（2020-09-30）,-0.11%,10.91%,1.33%,5.33%,23.98%,27.15%,孙伟,3年又196天,27.15%,5年又235天
华安中证500低波ETF联接C,006130,0.09亿元（2020-09-30）,-2.45%,0.16%,-4.86%,11.25%,--,24.31%,苏卿云,1年又361天,24.31%,4年又23天
富国中证国企一带一路ETF联接A,007786,0.22亿元（2020-09-30）,6.60%,17.09%,15.98%,24.88%,--,24.89%,王乐乐/王保合,1年又11天,24.89%,5年又155天/9年又316天
国泰中证钢铁ETF联接C,008190,0.40亿元（2020-09-30）,3.10%,10.79%,7.95%,--,--,21.55%,徐成城/梁杏,356天,21.55%,3年又342天/4年又217天
建信易盛郑商所能源化工期货ETF联接C,008828,0.03亿元（2020-10-16）,2.87%,--,--,--,--,9.87%,朱金钰,86天,9.87%,1年又29天
工银湾创100ETF联接A,008052,0.60亿元（2020-09-30）,6.64%,16.21%,12.78%,30.48%,--,30.52%,刘伟琳,1年又17天,30.52%,6年又87天
广发中证全指可选消费联接A,001133,2.44亿元（2020-09-30）,4.22%,15.56%,20.03%,34.70%,21.59%,4.35%,陆志明,5年又272天,4.35%,9年又224天
添富中证银行ETF联接C,007154,1.70亿元（2020-09-30）,-0.56%,9.38%,-1.31%,-0.69%,--,5.93%,乐无穹/过蓓蓓,1年又271天,5.93%,2年又108天/5年又162天
建信易盛郑商所能源化工期货ETF联接A,008827,0.21亿元（2020-10-16）,2.91%,--,--,--,--,9.97%,朱金钰,86天,9.97%,1年又29天
添富中证银行ETF联接A,007153,1.05亿元（2020-09-30）,-0.55%,9.41%,-1.26%,-0.59%,--,6.04%,乐无穹/过蓓蓓,1年又271天,6.04%,2年又108天/5年又162天
华宝中证银行ETF联接C,006697,1.81亿元（2020-09-30）,-0.48%,9.31%,0.00%,0.96%,--,17.31%,胡洁,250天,13.62%,8年又88天
南方中证500ETF联接C,004348,10.80亿元（2020-09-30）,2.27%,6.19%,1.71%,22.95%,6.47%,7.14%,罗文杰,3年又322天,7.14%,7年又265天
交银上证180公司治理联接,519686,3.10亿元（2020-09-30）,4.58%,14.91%,15.22%,24.03%,24.48%,68.80%,蔡铮,7年又288天,122.99%,8年又16天
华夏中证银行ETF联接A,008298,0.49亿元（2020-09-30）,0.29%,11.43%,3.46%,6.08%,--,10.22%,李俊,1年又36天,10.22%,3年又31天
国联安中证半导体ETF联接A,007300,13.67亿元（2020-09-30）,-3.32%,8.21%,-10.52%,43.89%,--,109.64%,章椹元/黄欣,150天,-5.51%,3年又94天/10年又272天
国寿安保中证500ETF联接,001241,8.32亿元（2020-09-30）,2.00%,5.68%,0.88%,20.95%,5.72%,-35.64%,李康,5年又228天,-35.64%,5年又298天
南方中证500ETF联接A,160119,81.49亿元（2020-09-30）,2.31%,6.31%,1.91%,23.44%,7.76%,86.72%,罗文杰,7年又264天,108.00%,7年又265天
国联安中证半导体ETF联接C,007301,31.19亿元（2020-09-30）,-3.34%,8.13%,-10.63%,43.52%,--,108.33%,章椹元/黄欣,150天,-5.60%,3年又94天/10年又272天
广发中证500ETF联接A,162711,15.03亿元（2020-09-30）,1.97%,5.78%,1.04%,22.06%,5.58%,44.18%,刘杰,6年又286天,67.34%,6年又286天
添富中证国企一带一路ETF联接A,008907,2.84亿元（2020-09-30）,6.26%,16.82%,19.24%,--,--,33.25%,董瑾/吴振翔,311天,33.25%,1年又38天/10年又341天
华夏中证浙江国资创新发展ETF联接A,008916,2.26亿元（2020-09-29）,3.48%,6.04%,--,--,--,6.04%,赵宗庭,33天,3.48%,3年又269天
广发中证500ETF联接C,002903,10.78亿元（2020-09-30）,1.95%,5.73%,0.94%,21.82%,4.94%,14.94%,刘杰,4年又210天,14.94%,6年又286天
广发中证全指可选消费联接C,002977,0.92亿元（2020-09-30）,4.21%,15.50%,19.91%,34.44%,20.95%,31.85%,陆志明,4年又189天,31.85%,9年又224天
中融中证500ETF联接C,007886,0.00亿元（2020-09-30）,1.76%,5.07%,0.77%,21.72%,--,21.73%,陈薪羽/赵菲,1年又7天,21.69%,1年又163天/5年又243天
天弘中证银行ETF联接C,001595,62.58亿元（2020-09-30）,-0.89%,9.16%,-1.03%,0.17%,10.41%,24.56%,陈瑶,1年又74天,1.67%,2年又333天
华泰柏瑞中证低波动ETF联接A,007466,0.33亿元（2020-09-30）,-3.52%,3.72%,2.16%,9.83%,--,18.00%,柳军,1年又180天,18.00%,11年又223天
中融中证500ETF联接A,007885,0.46亿元（2020-09-30）,1.78%,5.09%,0.88%,21.90%,--,21.91%,陈薪羽/赵菲,1年又7天,21.86%,1年又163天/5年又243天
富国中证价值ETF联接C,007191,0.07亿元（2020-09-30）,-1.53%,3.40%,5.74%,24.31%,--,20.00%,曹璐迪,230天,29.05%,235天
华夏中证浙江国资创新发展ETF联接C,008917,0.28亿元（2020-09-29）,3.46%,5.95%,--,--,--,5.95%,赵宗庭,33天,3.46%,3年又269天
方正富邦中证500ETF联接C,006657,0.05亿元（2020-09-30）,1.96%,5.21%,0.27%,21.06%,--,24.70%,张超梁/吴昊,1年又29天,28.70%,1年又29天/2年又198天
华夏中证银行ETF联接C,008299,0.43亿元（2020-09-30）,0.26%,11.35%,3.31%,5.77%,--,9.87%,李俊,1年又36天,9.87%,3年又31天
博时中证500ETF联接C,008397,2.19亿元（2020-09-30）,2.52%,7.26%,4.13%,29.04%,--,28.96%,万琼,1年又12天,28.96%,5年又218天
天弘中证500ETF联接C,005919,8.62亿元（2020-09-30）,2.48%,6.51%,3.05%,24.85%,--,19.03%,杨超/陈瑶/张子法,1年又205天,37.78%,5年又313天/2年又333天/3年又269天
平安500ETF联接A,006214,1.54亿元（2020-09-30）,2.37%,6.17%,3.31%,24.38%,--,42.75%,成钧,2年又128天,42.75%,3年又17天
嘉实沪深300红利低波动ETF联接A,007605,0.25亿元（2020-09-30）,-0.47%,4.62%,1.32%,4.06%,--,5.46%,陈正宪/何如,1年又33天,5.46%,5年又7天/6年又248天
易方达中证500ETF联接C,007029,2.48亿元（2020-09-30）,2.40%,7.01%,4.34%,28.18%,--,36.90%,余海燕,290天,32.90%,9年又57天
易方达中证500ETF联接A,007028,4.43亿元（2020-09-30）,2.41%,7.05%,4.40%,28.32%,--,37.20%,余海燕,290天,33.01%,9年又57天
大成深证成长40ETF联接,090012,2.01亿元（2020-09-30）,10.56%,10.56%,8.55%,56.91%,51.74%,61.30%,刘淼/苏秉毅/张钟玉,195天,18.08%,195天/8年又338天/5年又318天
国寿创精选88ETF联接A,008898,2.96亿元（2020-09-30）,-4.75%,-5.31%,-7.57%,--,--,4.15%,李康,296天,4.15%,5年又298天
天弘中证银行ETF联接A,001594,23.36亿元（2020-09-30）,-0.87%,9.23%,-0.93%,0.37%,11.10%,26.20%,陈瑶,1年又74天,1.91%,2年又333天
博时中证500ETF联接A,008396,3.13亿元（2020-09-30）,2.54%,7.35%,4.29%,29.43%,--,29.35%,万琼,1年又12天,29.35%,5年又218天
华夏中证500ETF联接C,006382,1.26亿元（2020-09-30）,2.37%,6.08%,1.21%,21.39%,--,39.60%,荣膺,2年又114天,39.60%,5年又67天
海富通上证周期ETF联接,519027,0.16亿元（2020-09-30）,2.97%,11.20%,3.55%,8.77%,12.12%,48.90%,江勇,2年又163天,32.12%,2年又185天
国寿创精选88ETF联接C,008899,0.06亿元（2020-09-30）,-4.78%,-5.40%,-7.71%,--,--,3.93%,李康,296天,3.93%,5年又298天
天弘中证500ETF联接A,000962,14.94亿元（2020-09-30）,2.49%,6.56%,3.15%,25.09%,10.92%,16.77%,杨超/陈瑶/张子法,1年又205天,38.21%,5年又313天/2年又333天/3年又269天
易方达中证红利ETF联接C,009052,2.88亿元（2020-09-30）,-3.86%,3.88%,3.25%,--,--,3.25%,宋钊贤/林伟斌,127天,3.02%,127天/6年又254天
鹏华中证500ETF联接A,007932,0.47亿元（2020-09-30）,1.52%,6.91%,6.58%,--,--,29.98%,陈龙,361天,29.98%,4年又206天
嘉实沪深300红利低波动ETF联接C,007606,0.15亿元（2020-09-30）,-0.49%,4.52%,1.12%,3.64%,--,5.00%,陈正宪/何如,1年又33天,5.00%,5年又7天/6年又248天
嘉实中创400ETF联接A,070030,0.96亿元（2020-09-30）,1.40%,4.86%,0.36%,26.16%,11.69%,88.84%,李直/刘珈吟,1年又287天,26.28%,3年又16天/4年又293天
景顺长城中证500ETF联接,001455,0.76亿元（2020-09-30）,1.83%,6.41%,5.11%,26.47%,11.82%,-5.40%,张晓南,269天,28.36%,4年又8天
富国中证价值ETF联接A,006748,0.78亿元（2020-09-30）,-1.49%,3.51%,5.95%,24.80%,--,52.01%,曹璐迪,230天,29.37%,235天
平安500ETF联接C,006215,3.58亿元（2020-09-30）,2.36%,6.14%,3.26%,24.25%,--,42.41%,成钧,2年又128天,42.41%,3年又17天
鹏华中证500ETF联接C,008001,0.28亿元（2020-09-30）,1.50%,6.85%,6.48%,--,--,29.72%,陈龙,361天,29.72%,4年又206天
嘉实中证500ETF联接C,070039,1.63亿元（2020-09-30）,1.83%,5.29%,0.94%,20.95%,--,39.69%,陈正宪/何如,2年又120天,39.69%,5年又7天/6年又248天
华泰柏瑞中证低波动ETF联接C,007467,0.05亿元（2020-09-30）,-3.54%,3.66%,2.03%,9.55%,--,17.39%,柳军,1年又180天,17.39%,11年又223天
华泰柏瑞中证500ETF联接C,006087,0.67亿元（2020-09-30）,2.47%,6.86%,5.26%,28.83%,--,31.82%,柳军,2年又212天,31.82%,11年又223天
汇添富中证医药ETF联接A,007076,0.78亿元（2020-09-30）,10.70%,10.25%,12.00%,55.21%,--,66.90%,过蓓蓓,1年又291天,66.90%,5年又162天
华夏中证500ETF联接A,001052,25.97亿元（2020-09-30）,2.41%,6.19%,1.41%,21.83%,6.58%,-26.78%,荣膺,3年又293天,6.58%,5年又67天
中银证券中证500ETF联接C,008259,0.28亿元（2020-09-30）,2.05%,5.86%,6.51%,--,--,25.74%,张艺敏/阳桦,117天,3.37%,117天/1年又143天
中银证券中证500ETF联接A,008258,0.67亿元（2020-09-30）,2.07%,5.92%,6.61%,--,--,25.91%,张艺敏/阳桦,117天,3.44%,117天/1年又143天
工银中证500ETF联接C,007223,0.00亿元（2020-09-30）,1.96%,5.40%,0.71%,--,--,16.65%,刘伟琳/赵栩,327天,16.65%,6年又87天/9年又87天
工银中证500ETF联接A,164809,1.11亿元（2020-09-30）,1.98%,5.48%,0.84%,20.77%,8.08%,58.64%,赵栩/刘伟琳,4年又114天,8.10%,9年又87天/6年又87天
易方达中证红利ETF联接A,009051,4.93亿元（2020-09-30）,-3.85%,3.91%,3.30%,--,--,3.30%,宋钊贤/林伟斌,127天,3.05%,127天/6年又254天
华泰柏瑞中证500ETF联接A,001214,1.45亿元（2020-09-30）,2.48%,6.93%,5.39%,29.15%,15.88%,-23.17%,柳军,5年又244天,-23.17%,11年又223天
方正富邦中证500ETF联接A,006656,0.04亿元（2020-09-30）,2.00%,5.33%,0.47%,21.60%,--,25.90%,张超梁/吴昊,1年又29天,29.38%,1年又29天/2年又198天
华宝中证银行ETF联接A,240019,1.81亿元（2020-09-30）,-0.47%,9.37%,0.11%,1.28%,1.43%,84.91%,胡洁,250天,13.82%,8年又88天
嘉实中创400ETF联接C,005727,0.10亿元（2020-09-30）,1.37%,4.74%,0.15%,25.66%,--,14.15%,李直/刘珈吟,1年又287天,25.36%,3年又16天/4年又293天
建信上证社会责任ETF联接,530010,0.83亿元（2020-09-30）,2.94%,12.42%,13.56%,25.70%,39.94%,163.67%,薛玲,4年又175天,91.47%,4年又191天
浙商之江凤凰联接,007431,0.35亿元（2020-09-30）,-0.44%,7.32%,4.32%,31.76%,--,37.27%,马斌博,1年又164天,37.27%,3年又15天
建信深证基本面60ETF联接A,530015,5.80亿元（2020-09-30）,6.94%,22.08%,18.97%,31.24%,49.19%,209.19%,薛玲,3年又105天,72.68%,4年又191天
嘉实中证500ETF联接A,000008,15.11亿元（2020-09-30）,1.86%,5.41%,1.14%,21.43%,5.56%,86.75%,陈正宪/何如,5年又7天,3.11%,5年又7天/6年又248天
建信深证基本面60ETF联接C,006363,0.27亿元（2020-09-30）,6.89%,21.91%,18.67%,30.58%,--,90.59%,薛玲,2年又129天,90.59%,4年又191天
汇添富中证医药ETF联接C,007077,0.68亿元（2020-09-30）,10.66%,10.12%,11.77%,54.58%,--,65.72%,过蓓蓓,1年又291天,65.72%,5年又162天
嘉实深证基本面120联接C,005998,0.50亿元（2020-09-30）,5.46%,18.30%,14.60%,27.42%,--,59.37%,李直/刘珈吟,2年又210天,59.37%,3年又16天/4年又293天
嘉实深证基本面120联接A,070023,10.03亿元（2020-09-30）,5.50%,18.44%,14.83%,27.93%,35.93%,158.71%,李直/刘珈吟,3年又16天,42.77%,3年又16天/4年又293天
华安中证细分医药ETF联接C,000376,0.50亿元（2020-09-30）,10.97%,8.30%,10.08%,53.40%,48.14%,107.40%,苏卿云,3年又76天,49.86%,4年又23天
华夏信用债ETF联接C,005582,0.01亿元（2020-09-30）,1.26%,1.48%,1.23%,2.16%,--,11.75%,刘明宇,292天,0.90%,3年又31天
华夏信用债ETF联接A,005581,0.30亿元（2020-09-30）,1.28%,1.54%,1.36%,2.41%,--,12.50%,刘明宇,292天,1.10%,3年又31天
汇添富中证长三角ETF联接A,007839,1.44亿元（2020-09-30）,7.32%,14.87%,9.87%,27.68%,--,34.37%,吴振翔,1年又109天,34.37%,10年又341天
国投沪深300金融地产联接,161211,3.30亿元（2020-09-30）,0.41%,8.12%,1.89%,15.35%,28.45%,106.35%,赵建,5年又336天,56.33%,7年又108天
嘉实央企创新驱动ETF联接C,007793,0.05亿元（2020-09-30）,5.90%,15.42%,9.15%,12.04%,--,14.64%,金猛/刘珈吟,1年又44天,14.64%,2年又113天/4年又293天
浦银安盛中证高股息ETF联接A,007410,0.20亿元（2020-09-30）,-4.52%,2.33%,6.99%,--,--,25.72%,高钢杰/陈士俊,220天,23.70%,1年又298天/10年又34天
嘉实央企创新驱动ETF联接A,007792,0.53亿元（2020-09-30）,5.94%,15.49%,9.29%,12.26%,--,14.90%,金猛/刘珈吟,1年又44天,14.90%,2年又113天/4年又293天
浦银安盛中证高股息ETF联接C,007411,0.04亿元（2020-09-30）,-4.54%,2.25%,6.82%,--,--,25.40%,高钢杰/陈士俊,220天,23.49%,1年又298天/10年又34天
国泰上证180金融ETF联接,020021,9.10亿元（2020-09-30）,-0.85%,5.55%,-4.70%,3.24%,11.76%,95.50%,艾小军,6年又202天,125.75%,6年又364天
汇添富中证长三角ETF联接C,007840,0.17亿元（2020-09-30）,7.29%,14.77%,9.70%,27.30%,--,33.84%,吴振翔,1年又109天,33.84%,10年又341天
广发中证全指金融地产联接A,001469,8.65亿元（2020-09-30）,-1.10%,4.09%,-5.34%,3.18%,9.07%,18.14%,陆志明,5年又187天,18.14%,9年又224天
广发中证全指金融地产联接C,002979,9.73亿元（2020-09-30）,-1.12%,4.03%,-5.44%,2.97%,8.27%,39.38%,陆志明,4年又189天,39.38%,9年又224天
