基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
汇添富中证互联网医疗指数A,501007,0.57亿元（2020-09-30）,-6.43%,-6.90%,-11.65%,15.45%,25.59%,16.84%,吴振翔,4年又20天,16.84%,10年又341天
华夏AH经济蓝筹股票C,007506,0.50亿元（2020-09-30）,4.44%,12.18%,6.64%,25.63%,--,32.58%,荣膺,33天,4.44%,5年又67天
广发养老指数A,000968,11.27亿元（2020-09-30）,4.09%,4.08%,3.69%,29.48%,21.60%,32.96%,霍华明,1年又58天,38.51%,3年又266天
浦银安盛沪港深基本面100,166402,0.19亿元（2020-09-30）,0.97%,9.32%,-5.00%,-10.33%,-9.99%,0.64%,陈士俊,3年又259天,0.64%,10年又34天
鹏华香港中小企业指数LOF,501023,0.12亿元（2020-09-30）,5.80%,14.14%,3.93%,3.40%,-7.57%,13.83%,张羽翔/尤柏年,2年又225天,-7.02%,5年又117天/8年又231天
广发中证全指家用电器指数A,005063,1.66亿元（2020-09-30）,8.10%,22.08%,29.88%,39.85%,36.50%,52.28%,罗国庆,3年又120天,52.28%,5年又91天
西部利得国企红利(LOF)C,009439,0.25亿元（2020-09-30）,2.27%,10.26%,7.79%,--,--,25.85%,盛丰衍,247天,25.85%,4年又48天
嘉实基本面50指数(LOF)C,160725,0.25亿元（2020-09-30）,0.61%,9.56%,3.17%,4.14%,--,18.43%,陈正宪/何如,2年又156天,18.43%,5年又7天/6年又248天
广发中证全指家用电器指数C,005064,1.33亿元（2020-09-30）,8.07%,22.01%,29.74%,39.55%,36.04%,51.64%,罗国庆,3年又120天,51.64%,5年又91天
广发养老指数C,002982,0.51亿元（2020-09-30）,4.07%,4.03%,3.58%,29.21%,20.89%,37.69%,霍华明,1年又58天,38.21%,3年又266天
银河中证沪港深高股息C,501308,0.02亿元（2020-09-30）,-0.10%,5.90%,0.37%,-1.79%,--,-0.77%,陈伯祯/楼华锋,2年又199天,3.24%,2年又199天/5年又6天
中证财通可持续发展100指数A,000042,2.28亿元（2020-09-30）,8.87%,20.88%,26.64%,42.89%,50.12%,171.56%,朱海东/吴迪,1年又169天,49.11%,1年又179天/4年又265天
银河中证沪港深高股息A,501307,0.46亿元（2020-09-30）,-0.09%,5.97%,0.49%,-1.56%,--,-0.12%,陈伯祯/楼华锋,2年又199天,3.85%,2年又199天/5年又6天
上投标普港股通低波红利指数A,005051,3.36亿元（2020-09-30）,1.61%,4.70%,-7.48%,-19.95%,-23.57%,-21.56%,胡迪/张淑婉,3天,0.62%,3天/4年又26天
招商国证生物医药指数,161726,141.45亿元（2020-09-30）,10.48%,3.79%,6.92%,78.76%,118.68%,56.84%,侯昊,3年又128天,136.05%,3年又142天
申万菱信沪深300价值指数C,007800,0.08亿元（2020-09-30）,1.87%,11.39%,6.37%,10.08%,--,17.12%,龚丽丽,1年又43天,15.71%,5年又85天
嘉实基本面50指数(LOF)A,160716,13.22亿元（2020-09-30）,0.65%,9.68%,3.38%,4.55%,7.44%,72.28%,陈正宪/何如,4年又293天,65.02%,5年又7天/6年又248天
景顺中证500行业中性低波动,003318,16.52亿元（2020-09-30）,-0.74%,2.84%,1.01%,20.59%,11.35%,18.20%,曾理,268天,20.91%,2年又90天
东财中证通信C,008327,5.20亿元（2020-09-30）,-1.96%,0.46%,-11.51%,--,--,4.36%,吴逸,356天,4.36%,1年又39天
华宝标普中国A股红利机会指数A,501029,13.35亿元（2020-09-30）,-2.82%,2.41%,0.29%,8.25%,-0.09%,13.50%,胡洁,250天,17.29%,8年又88天
嘉实中证500指数增强A,008778,0.64亿元（2020-09-30）,5.12%,6.30%,4.72%,--,--,31.84%,龙昌伦,356天,31.84%,3年又203天
申万中证申万电子行业投资指数(LOF)C,010531,--亿元（--）,6.18%,--,--,--,--,7.52%,龚丽丽,60天,7.52%,5年又85天
东财中证通信A,008326,1.02亿元（2020-09-30）,-1.93%,0.54%,-11.38%,--,--,4.62%,吴逸,356天,4.62%,1年又39天
华宝标普中国A股红利机会指数C,005125,0.24亿元（2020-09-30）,-2.85%,2.30%,0.09%,7.82%,-1.31%,3.25%,胡洁,250天,16.97%,8年又88天
易方达中证万得并购重组(LOF),161123,6.30亿元（2021-01-05）,-2.69%,2.52%,-2.34%,22.59%,-3.87%,-51.84%,刘树荣,262天,17.90%,3年又177天
申万中证申万电子行业投资指数(LOF)A,163116,3.45亿元（2020-11-16）,6.20%,10.97%,5.78%,44.33%,49.81%,18.62%,龚丽丽,1年又43天,62.29%,5年又85天
国联安中证医药100C,006569,0.12亿元（2020-09-30）,2.85%,1.71%,2.34%,45.54%,--,87.18%,黄欣,2年又77天,87.18%,10年又272天
天弘中证医药100A,001550,5.13亿元（2020-09-30）,1.33%,0.35%,1.47%,46.00%,46.55%,15.82%,沙川,1年又60天,47.33%,2年又306天
天弘中证医药100C,001551,5.97亿元（2020-09-30）,1.31%,0.29%,1.36%,45.71%,45.64%,14.40%,沙川,1年又60天,46.99%,2年又306天
博道中证500增强A,006593,2.40亿元（2020-09-30）,4.48%,9.02%,13.87%,43.09%,--,90.46%,杨梦,2年又8天,90.46%,2年又154天
中融国证钢铁行业指数,168203,1.60亿元（2020-09-30）,4.42%,12.39%,7.10%,14.70%,-29.85%,-58.33%,赵菲,5年又207天,-58.33%,5年又243天
博道中证500增强C,006594,1.42亿元（2020-09-30）,4.45%,8.93%,13.70%,42.66%,--,89.30%,杨梦,2年又8天,89.30%,2年又154天
国联安中证医药100A,000059,25.72亿元（2020-09-30）,2.88%,1.82%,2.54%,46.13%,38.09%,114.21%,黄欣,4年又106天,36.53%,10年又272天
嘉实中证500指数增强C,008779,0.41亿元（2020-09-30）,5.08%,6.19%,4.51%,--,--,31.33%,龙昌伦,356天,31.33%,3年又203天
银河沪深300价值指数,519671,20.00亿元（2020-09-30）,2.03%,11.69%,7.23%,10.87%,16.56%,92.33%,罗博,11年又16天,92.33%,11年又16天
华宝标普中国A股质量价值,501069,0.27亿元（2020-09-30）,2.78%,7.38%,8.00%,30.08%,--,49.37%,胡洁,250天,29.09%,8年又88天
鹏华中证银行指数(LOF),160631,40.23亿元（2020-09-30）,-0.31%,9.89%,-0.42%,0.69%,8.68%,11.99%,闫冬,1年又52天,3.30%,1年又298天
鹏华中证移动互联网指数(LOF),160636,1.39亿元（2020-09-30）,6.80%,10.56%,2.13%,48.32%,64.16%,11.71%,张羽翔,2年又258天,79.01%,5年又117天
华安中证银行指数,160418,6.97亿元（2020-09-30）,-3.37%,7.23%,0.39%,2.47%,12.23%,7.64%,许之彦,3年又76天,13.53%,14年又73天
民生中证内地资源主题指数,690008,0.75亿元（2020-09-30）,15.52%,38.10%,27.23%,25.34%,-4.43%,-15.90%,武杰/蔡晓,2年又71天,36.08%,2年又71天/5年又8天
西部利得国企红利(LOF)A,501059,0.71亿元（2020-09-30）,2.33%,10.39%,7.98%,26.98%,--,61.87%,盛丰衍,1年又25天,30.27%,4年又48天
中泰中证500指数增强C,008113,0.48亿元（2020-09-30）,2.58%,7.44%,5.71%,30.72%,--,36.72%,邹巍,1年又31天,36.72%,1年又31天
汇添富中证互联网医疗指数C,501008,0.23亿元（2020-09-30）,-6.45%,-7.00%,-11.83%,14.98%,24.57%,15.51%,吴振翔,4年又20天,15.51%,10年又341天
东吴中证新兴指数,585001,0.78亿元（2020-09-30）,12.80%,24.21%,22.75%,58.40%,47.82%,88.18%,周健,171天,18.40%,8年又86天
天弘中证红利低波动100C,008115,0.37亿元（2020-09-30）,-1.87%,3.33%,-1.85%,4.73%,--,4.85%,陈瑶/张子法,1年又32天,4.85%,2年又333天/3年又269天
信达澳银中证沪港深高股息精选,005770,0.02亿元（2020-09-30）,-4.50%,-1.47%,-3.46%,1.73%,--,6.43%,刘威/王咏辉/王辉良,270天,11.26%,3年又60天/7年又266天/5年又4天
浙商中证500指数增强C,007386,0.33亿元（2020-09-30）,4.76%,8.06%,12.05%,42.35%,--,49.18%,向伟,34天,4.93%,1年又106天
中融中证银行指数(LOF),168205,0.91亿元（2020-09-30）,-0.19%,10.77%,3.03%,8.99%,19.84%,17.93%,赵菲,5年又221天,17.93%,5年又243天
国投中证500指数量化增强C,007089,0.24亿元（2020-09-30）,3.14%,7.12%,12.11%,42.15%,--,67.54%,殷瑞飞,1年又303天,67.54%,7年又108天
鹏华中证一带一路主题指数(LOF),160638,3.12亿元（2020-09-30）,8.68%,18.54%,20.10%,30.54%,19.39%,-31.15%,张羽翔,4年又27天,29.97%,5年又117天
中金MSCI中国A股价值指数A,006349,0.14亿元（2020-09-30）,2.88%,7.49%,-0.05%,5.80%,--,27.49%,刘重晋,65天,4.81%,3年又162天
大成中华沪深港300指数(LOF)C,008973,0.00亿元（2020-09-30）,8.10%,18.93%,13.63%,--,--,29.67%,冉凌浩,313天,29.67%,9年又140天
博时中证500指数增强A,005062,6.66亿元（2020-09-30）,4.19%,6.68%,6.72%,35.16%,39.10%,42.40%,刘钊,18天,4.96%,3年又56天
国投瑞银中证资源指数,161217,1.17亿元（2020-09-30）,14.47%,37.43%,33.29%,37.24%,17.94%,-2.70%,殷瑞飞,6年又142天,74.69%,7年又108天
国投中证500指数量化增强A,005994,1.57亿元（2020-09-30）,3.18%,7.24%,12.34%,42.74%,--,96.32%,殷瑞飞,2年又163天,96.32%,7年又108天
长信中证500指数增强,004945,2.21亿元（2020-09-30）,5.03%,8.00%,9.28%,47.84%,47.95%,51.13%,宋海岸,2年又126天,83.52%,2年又333天
易方达中证银行指数(LOF)C,009860,0.08亿元（2020-09-30）,-0.13%,11.60%,--,--,--,10.01%,刘树荣,156天,10.01%,3年又177天
中银沪深300等权重指数,163821,0.69亿元（2020-09-30）,5.84%,13.58%,16.06%,43.66%,41.23%,117.50%,赵建忠,5年又218天,-8.15%,5年又218天
博时中证500指数增强C,005795,1.63亿元（2020-09-30）,4.16%,6.56%,6.50%,34.60%,--,45.49%,刘钊,18天,4.94%,3年又56天
中泰中证500指数增强A,008112,0.23亿元（2020-09-30）,2.62%,7.56%,5.93%,31.25%,--,37.31%,邹巍,1年又31天,37.31%,1年又31天
天弘中证500指数增强A,001556,6.37亿元（2020-09-30）,7.01%,12.30%,14.65%,48.10%,46.09%,28.46%,杨超,1年又140天,69.45%,5年又313天
大成中证红利指数A,090010,22.97亿元（2020-09-30）,-3.44%,5.17%,3.87%,8.82%,8.46%,102.82%,夏高,6年又20天,76.21%,6年又37天
银河定投宝腾讯济安指数,519677,3.06亿元（2020-09-30）,-2.49%,5.28%,10.42%,38.63%,28.18%,131.10%,楼华锋/罗博,5年又6天,35.94%,5年又6天/11年又16天
招商中证银行指数,161723,12.31亿元（2020-09-30）,0.00%,10.76%,2.78%,5.37%,20.94%,32.36%,侯昊,3年又128天,22.11%,3年又142天
万家中证红利指数(LOF),161907,0.42亿元（2020-09-30）,-4.68%,3.60%,2.29%,8.61%,5.05%,86.11%,杨坤,1年又74天,13.12%,1年又79天
信诚中证基建工程指数LOF,165525,11.19亿元（2020-09-30）,-5.10%,-3.46%,-10.19%,-10.07%,-40.81%,-32.44%,HAN YILING/黄稚,209天,2.92%,2年又276天/2年又170天
富国中证移动互联网指数,161025,12.37亿元（2020-09-30）,6.88%,9.87%,-0.23%,45.16%,52.90%,54.89%,牛志冬/王保合,5年又244天,-24.25%,5年又244天/9年又316天
博时中证银行指数(LOF),160517,2.66亿元（2020-09-30）,-0.06%,11.35%,4.47%,11.62%,27.53%,38.87%,赵云阳,5年又20天,50.95%,8年又60天
浙商中证500指数增强A,002076,2.72亿元（2020-09-30）,4.80%,8.17%,12.25%,42.85%,35.36%,46.84%,向伟,34天,4.97%,1年又106天
富国中证红利指数增强A,100032,39.70亿元（2020-09-30）,-1.22%,5.18%,2.89%,8.60%,5.79%,241.62%,方旻/徐幼华,6年又54天,117.12%,6年又54天/9年又245天
上投标普港股通低波红利指数C,005052,0.18亿元（2020-09-30）,1.56%,4.57%,-7.70%,-20.34%,-24.53%,-22.58%,胡迪/张淑婉,3天,0.61%,3天/4年又26天
中金MSCI中国A股价值指数C,006350,0.01亿元（2020-09-30）,2.86%,7.42%,-0.17%,5.53%,--,26.94%,刘重晋,65天,4.77%,3年又162天
红土创新中证500增强A,006783,0.28亿元（2020-09-30）,3.38%,6.86%,7.08%,33.47%,--,45.21%,庞世恩/储荞,1年又267天,27.10%,4年又138天/1年又320天
富国中证红利指数增强C,008682,0.83亿元（2020-09-30）,-1.22%,5.09%,2.71%,--,--,12.38%,方旻/徐幼华,306天,12.38%,6年又54天/9年又245天
红土创新中证500增强C,006784,0.20亿元（2020-09-30）,3.35%,6.78%,6.92%,33.06%,--,44.49%,庞世恩/储荞,1年又267天,26.56%,4年又138天/1年又320天
易方达中证银行指数(LOF)A,161121,3.69亿元（2020-09-30）,-0.11%,11.69%,4.09%,10.39%,24.31%,28.55%,刘树荣,262天,24.78%,3年又177天
景顺中证红利成长低波动C,007760,0.13亿元（2020-09-30）,-2.43%,0.90%,-6.56%,-4.35%,--,-1.94%,曾理/徐喻军,1年又127天,-1.94%,2年又90天/6年又268天
农银中证500指数,660011,0.82亿元（2020-09-30）,2.20%,5.24%,-0.02%,19.58%,1.27%,64.42%,宋永安,6年又336天,50.21%,8年又162天
大成中华沪深港300指数(LOF)A,160925,0.82亿元（2020-09-30）,8.10%,18.95%,13.67%,30.24%,--,37.26%,冉凌浩,1年又297天,37.26%,9年又140天
景顺中证红利成长低波动A,007751,0.64亿元（2020-09-30）,-2.40%,0.97%,-6.45%,-4.12%,--,-1.62%,曾理/徐喻军,1年又127天,-1.62%,2年又90天/6年又268天
银华中证全指医药卫生,005112,2.21亿元（2020-09-30）,6.28%,2.44%,-4.50%,42.37%,95.04%,101.01%,秦锋,3年又105天,101.01%,3年又105天
富国中证银行指数,161029,5.02亿元（2020-09-30）,-0.16%,10.14%,3.51%,7.84%,20.73%,35.18%,王保合,1年又52天,10.93%,9年又316天
富荣中证500指数A,004790,0.04亿元（2020-09-30）,2.54%,6.84%,2.38%,21.45%,--,32.07%,邱紫华,87天,1.13%,137天
天弘中证红利低波动100A,008114,0.26亿元（2020-09-30）,-1.86%,3.38%,-1.76%,4.96%,--,5.09%,陈瑶/张子法,1年又32天,5.09%,2年又333天/3年又269天
汇添富中证500A,501036,2.55亿元（2020-09-30）,1.77%,6.55%,6.14%,28.12%,14.65%,12.30%,吴振翔,3年又154天,12.30%,10年又341天
申万菱信中证500指数优选增强C,007794,0.40亿元（2020-09-30）,5.14%,7.87%,9.28%,37.12%,--,60.68%,刘敦,264天,36.27%,3年又93天
中加中证500指数增强C,010154,1.09亿元（2020-09-27）,4.17%,0.97%,--,--,--,1.01%,钟伟,105天,1.01%,2年又290天
广发中证基建工程指数C,005224,14.89亿元（2020-09-30）,-4.83%,-3.19%,-9.24%,-7.50%,--,-28.60%,霍华明,2年又344天,-28.60%,3年又266天
大成中证红利指数C,007801,0.34亿元（2020-09-30）,-3.45%,5.13%,3.83%,8.53%,--,13.75%,夏高,1年又162天,13.75%,6年又37天
